symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,110.0,2026-02-24,147.49,0.2068,39.0,0.2592,67.0,0.3074,57.0,0.311,59.0,0.3146,60.0,0.2897,57.0,0.2476,61.0,0.3175,66.0,0.3236,65.0,0.3298,62.0,20270115.0,35.0,609.0,1.040514469453376
AA,,,36.7,0.524,78.0,0.331,55.0,0.5026,76.0,0.4939,74.0,0.4852,72.0,0.4668,64.0,0.373,63.0,0.4785,76.0,0.4958,77.0,0.5132,78.0,20270115.0,7.0,609.0,1.0038469325774448
AAAU,,,39.28,0.1918,,0.1297,,0.1871,,0.1852,,0.1834,,0.1972,,0.105,,0.1875,,0.1916,,0.1957,,20251219.0,35.0,217.0,1.0345572354211665
AAL,,,13.15,0.5858,85.0,0.4186,77.0,0.536,81.0,0.5288,81.0,0.5216,80.0,0.491,80.0,0.3688,64.0,0.4598,72.0,0.4698,73.0,0.4799,74.0,20271217.0,7.0,945.0,0.8884266263237518
AAMI,,,43.68,0.4709,,0.5531,,0.4513,,0.3982,,0.345,,0.4162,,0.3274,,0.3483,,0.352,,0.3557,,20260116.0,35.0,245.0,0.8839779005524862
AAOI,110.0,2026-02-24,29.1,0.977,80.0,0.9121,87.0,1.4786,95.0,1.4002,93.0,1.3218,92.0,1.0235,84.0,0.9447,88.0,1.0593,94.0,1.0391,91.0,1.0189,88.0,20270115.0,7.0,609.0,0.7421082702471076
AAON,111.0,2026-02-25,100.03,0.7073,98.0,0.6932,99.0,0.5691,95.0,0.5964,98.0,0.6237,98.0,0.5861,93.0,0.4842,95.0,0.5301,100.0,0.5222,100.0,0.5142,99.0,20260116.0,35.0,245.0,0.8755868544600939
AAP,110.0,2026-02-24,47.47,0.6373,95.0,0.8881,100.0,0.527,93.0,0.5418,93.0,0.5566,94.0,0.8456,100.0,0.531,98.0,0.5884,99.0,0.5844,98.0,0.5804,97.0,20270115.0,7.0,609.0,1.0786267995570322
AAPB,,,33.29,0.1534,3.0,0.3572,68.0,0.5226,64.0,0.4761,38.0,0.4296,21.0,0.4538,57.0,0.3754,71.0,0.4637,62.0,0.5062,68.0,0.5488,65.0,20260116.0,35.0,245.0,1.0632220121823146
AAPD,,,13.23,0.0527,1.0,0.1879,57.0,0.3075,57.0,,,,,0.2289,57.0,0.1941,62.0,0.3075,70.0,,,,,20260116.0,35.0,245.0,
AAPL,,,269.77,0.0645,1.0,0.191,38.0,0.2406,34.0,0.2416,34.0,0.2425,35.0,0.2261,21.0,0.1979,28.0,0.2866,34.0,0.2824,30.0,0.2782,24.0,20271217.0,7.0,945.0,1.1688741721854303
AAPU,,,35.84,0.1421,4.0,0.3727,67.0,0.5044,64.0,0.4873,50.0,0.4702,40.0,0.4508,60.0,0.3886,68.0,0.4804,80.0,0.5246,80.0,0.5689,79.0,20260116.0,35.0,245.0,1.0765442232710856
AAPW,,,42.44,0.1627,,0.2109,,,,,,0.9952,,0.285,,0.2222,,,,,,0.8044,,20251219.0,35.0,217.0,
AAPX,,,30.98,0.1513,,0.3242,,0.5615,,0.4798,,0.398,,0.4539,,0.3726,,0.479,,0.5182,,0.5575,,20251219.0,35.0,217.0,1.0800333472280117
AAPY,,,24.88,0.0689,,0.0439,,0.162,,,,,,0.188,,0.1166,,0.162,,,,,,20260116.0,35.0,245.0,
AAT,,,18.89,0.3636,88.0,0.2409,70.0,0.2815,59.0,,,,,0.256,63.0,0.2164,55.0,0.3295,80.0,,,,,20260116.0,35.0,245.0,
AAXJ,,,93.74,0.176,61.0,0.0884,48.0,0.2339,86.0,0.2182,78.0,0.2025,66.0,0.1418,16.0,0.0797,14.0,0.1854,61.0,0.1981,57.0,0.2108,49.0,20251219.0,35.0,217.0,0.9078826764436296
AB,,,39.66,0.1683,21.0,0.1627,9.0,0.2291,30.0,0.2264,18.0,0.2237,13.0,0.1819,4.0,0.1849,2.0,0.2239,41.0,0.2225,16.0,0.2211,7.0,20260116.0,35.0,245.0,0.982773851590106
ABAT,,,3.69,1.2388,88.0,1.0231,83.0,1.8278,,1.7328,,1.6379,,1.4884,90.0,1.2242,93.0,1.4211,,1.4122,,1.4032,,20251219.0,35.0,217.0,0.8149815327793167
ABBV,,,219.04,0.3792,91.0,0.2355,71.0,0.2375,62.0,0.234,56.0,0.2306,52.0,0.2344,45.0,0.2071,40.0,0.2782,91.0,0.2732,67.0,0.2681,21.0,20270115.0,7.0,609.0,1.1675213675213674
ABCB,,,72.9,0.1237,9.0,0.2498,45.0,0.3344,56.0,0.3411,53.0,0.3479,61.0,0.2473,30.0,0.2185,5.0,0.3046,55.0,0.304,48.0,0.3033,47.0,20260116.0,35.0,245.0,0.891234242157725
ABCL,111.0,2026-02-25,4.53,0.6471,64.0,0.6012,57.0,1.417,96.0,1.3443,98.0,1.2715,99.0,0.7841,92.0,0.7611,93.0,0.9844,81.0,1.039,94.0,1.0937,99.0,20260116.0,35.0,245.0,0.7728929554414936
ABEO,,,4.19,0.4447,22.0,0.575,27.0,1.8383,87.0,1.508,79.0,1.1778,62.0,0.4703,6.0,0.495,5.0,2.0607,93.0,1.5655,86.0,1.0702,62.0,20251219.0,35.0,217.0,1.038129973474801
ABEV,,,2.4,0.3496,72.0,0.2215,42.0,0.2185,7.0,0.8396,100.0,1.4608,100.0,0.2387,12.0,0.2073,21.0,0.2185,14.0,0.8396,97.0,1.4608,99.0,20270115.0,35.0,609.0,1.0
ABFL,,,70.9,0.1461,,0.091,,0.1403,,0.1624,,0.1844,,0.1296,,0.1349,,0.1526,,0.1771,,0.2016,,20251219.0,35.0,217.0,1.0905172413793105
ABG,,,226.61,0.2634,32.0,0.3004,45.0,0.4033,64.0,0.3908,59.0,0.3783,55.0,0.3255,38.0,0.3024,34.0,0.3704,51.0,0.3667,46.0,0.3629,44.0,20260116.0,35.0,245.0,0.938331627430911
ABL,,,5.28,0.5172,65.0,0.5366,65.0,0.6372,,0.6056,,0.5739,,0.6357,65.0,0.6402,57.0,0.6802,,0.6639,,0.6476,,20270115.0,35.0,609.0,1.0962681638044915
ABM,,,41.97,0.3931,84.0,0.3221,80.0,0.4289,82.0,0.3643,68.0,0.2997,51.0,0.2693,50.0,0.2457,50.0,0.3275,71.0,0.3313,67.0,0.3351,66.0,20260116.0,35.0,245.0,0.9094153170463902
ABNB,,,120.53,0.2222,13.0,0.2346,18.0,0.7183,93.0,0.7194,93.0,0.7205,93.0,0.2647,11.0,0.2265,12.0,0.3806,19.0,0.3869,16.0,0.3931,11.0,20270115.0,7.0,609.0,0.5378092855157075
ABNY,,,9.19,0.1242,5.0,0.1767,37.0,,,,,,,0.235,44.0,0.1772,42.0,,,,,,,20260116.0,35.0,245.0,
ABOS,,,1.9,0.8136,67.0,0.7045,41.0,,,,,,,0.8594,59.0,0.8208,53.0,,,,,,,20260116.0,35.0,245.0,
ABR,105.0,2026-02-19,9.43,0.7562,97.0,0.642,98.0,0.3704,73.0,0.3973,69.0,0.4242,71.0,0.3741,78.0,0.3264,73.0,0.4075,90.0,0.3662,55.0,0.3249,37.0,20270115.0,7.0,609.0,0.9217216209413542
ABSI,,,3.59,0.6035,24.0,0.6222,12.0,1.2614,60.0,1.0072,20.0,0.7531,2.0,0.8276,4.0,0.7581,1.0,1.6645,81.0,1.4238,78.0,1.1832,61.0,20251121.0,35.0,189.0,1.413621922160445
ABT,,,124.95,0.1732,51.0,0.1592,46.0,0.2077,61.0,0.208,60.0,0.2083,57.0,0.2157,64.0,0.1933,64.0,0.1894,31.0,0.2292,54.0,0.269,73.0,20270115.0,7.0,609.0,1.101923076923077
ABTC,,,4.54,0.5258,,0.8402,,0.9286,,1.1411,,1.3536,,0.0,,0.0,,1.1213,,1.0964,,1.0715,,,,,0.9608272719305934
ABUS,,,4.44,0.5081,50.0,0.5481,45.0,1.502,89.0,1.3226,86.0,1.1431,79.0,0.4142,15.0,0.4392,17.0,1.462,82.0,1.5227,89.0,1.5835,95.0,20270115.0,35.0,609.0,1.151292907908665
ABVC,,,2.84,0.6168,,0.5921,,3.8322,,,,,,1.3291,,1.0741,,3.8322,,,,,,,,,
ABVE,,,3.42,0.8178,,1.4843,,2.3279,,2.5446,,2.7613,,3.1876,,2.3858,,1.8217,,2.2281,,2.6345,,,,,0.8756189577929734
ABVX,,,103.9,0.5515,,0.5258,,0.5079,,0.5088,,0.5096,,2.7926,,0.5652,,0.8969,,0.8854,,0.8738,,,,,1.740172955974843
ACA,111.0,2026-02-25,98.7,0.6607,94.0,0.4365,89.0,0.4183,66.0,0.367,43.0,0.3157,26.0,0.3299,35.0,0.2495,18.0,0.366,65.0,0.357,57.0,0.3479,47.0,20251219.0,35.0,217.0,0.9727520435967302
ACAD,110.0,2026-02-24,21.65,0.2918,17.0,0.5665,64.0,0.5115,22.0,0.4822,15.0,0.4528,10.0,0.4877,18.0,0.4491,24.0,0.5298,21.0,0.5268,19.0,0.5238,18.0,20251219.0,35.0,217.0,1.0924927416009955
