symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,10.0,2025-11-24,146.82,0.2627,57.0,0.2323,57.0,0.2844,50.0,0.2832,49.0,0.2821,48.0,0.2902,57.0,0.2476,61.0,0.3143,65.0,0.325,66.0,0.3358,65.0,20270115.0,35.0,609.0,1.1475988700564972
AA,69.0,2026-01-22,37.59,0.6526,88.0,0.4721,83.0,0.4703,69.0,0.4829,72.0,0.4955,74.0,0.4806,68.0,0.38,65.0,0.475,76.0,0.5004,78.0,0.5258,81.0,20270115.0,7.0,609.0,1.0362393870366535
AAAU,,,40.34,0.2366,,0.1355,,0.2272,,0.2362,,0.2452,,0.1973,,0.1068,,0.1851,,0.204,,0.2228,,20251219.0,35.0,217.0,0.8636748518204911
AAL,68.0,2026-01-21,12.76,0.471,74.0,0.4495,81.0,0.4106,59.0,0.4122,59.0,0.4139,60.0,0.4922,80.0,0.3724,65.0,0.4689,74.0,0.4756,74.0,0.4824,75.0,20271217.0,7.0,945.0,1.1538088306647258
AAMI,82.0,2026-02-04,43.9,0.3298,,0.3858,,0.8841,,0.7088,,0.5335,,0.4219,,0.3366,,0.3174,,0.345,,0.3725,,20260116.0,35.0,245.0,0.4867381489841986
AAOI,102.0,2026-02-24,21.46,0.9665,80.0,1.2724,97.0,0.9805,77.0,1.0566,82.0,1.1327,85.0,1.0468,85.0,0.9647,89.0,1.0194,90.0,1.045,92.0,1.0707,92.0,20270115.0,7.0,609.0,0.9890213893621048
AAON,103.0,2026-02-25,94.04,0.7423,98.0,0.8259,100.0,0.5361,93.0,0.493,89.0,0.4498,85.0,0.5984,94.0,0.5019,96.0,0.5448,100.0,0.5348,100.0,0.5248,99.0,20260116.0,35.0,245.0,1.084787018255578
AAP,102.0,2026-02-24,50.03,0.5444,93.0,0.4817,95.0,0.468,88.0,0.4826,89.0,0.4971,90.0,0.8491,100.0,0.5345,98.0,0.591,99.0,0.5881,98.0,0.5852,97.0,20270115.0,7.0,609.0,1.2186075424782428
AAPB,,,33.86,0.2919,28.0,0.3607,69.0,0.5053,59.0,0.4925,43.0,0.4797,39.0,0.4543,57.0,0.3769,72.0,0.424,47.0,0.5184,71.0,0.6129,86.0,20260116.0,35.0,245.0,1.0525888324873096
AAPD,,,13.11,0.1527,24.0,0.1898,59.0,0.367,79.0,0.3786,61.0,0.3903,59.0,0.2292,57.0,0.1952,63.0,0.2368,40.0,0.3136,50.0,0.3903,71.0,20260116.0,35.0,245.0,0.8283148441627047
