symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,11.0,2025-11-24,146.89,0.2641,57.0,0.2493,64.0,0.3014,56.0,0.3053,57.0,0.3092,57.0,0.2902,57.0,0.247,60.0,0.3222,68.0,0.3259,66.0,0.3297,62.0,20270115.0,35.0,609.0,1.0674746151326564
AA,70.0,2026-01-22,38.19,0.6308,87.0,0.453,80.0,0.5,75.0,0.5022,75.0,0.5043,76.0,0.4807,68.0,0.379,64.0,0.4757,76.0,0.4892,75.0,0.5026,76.0,20270115.0,7.0,609.0,0.9741138988450816
AAAU,,,41.09,0.1796,,0.12,,0.2652,,0.2484,,0.2315,,0.1965,,0.1067,,0.2075,,0.2131,,0.2187,,20251219.0,35.0,217.0,0.8578904991948471
AAL,69.0,2026-01-21,13.07,0.5975,86.0,0.4932,86.0,0.4569,71.0,0.4613,72.0,0.4657,72.0,0.4919,80.0,0.3731,65.0,0.4869,77.0,0.4804,75.0,0.474,72.0,20271217.0,7.0,945.0,1.0414047257749837
AAMI,83.0,2026-02-04,43.25,0.324,,0.3836,,0.3919,,0.4553,,0.5187,,0.4217,,0.3349,,0.3572,,0.356,,0.3549,,20260116.0,35.0,245.0,0.7819020426092687
AAOI,103.0,2026-02-24,20.91,1.1361,87.0,1.2036,95.0,0.9775,77.0,0.9904,78.0,1.0033,78.0,1.0464,85.0,0.9577,88.0,0.9757,86.0,1.0176,90.0,1.0595,91.0,20270115.0,7.0,609.0,1.027463651050081
AAON,104.0,2026-02-25,95.17,0.7674,98.0,0.821,100.0,0.5332,93.0,0.4876,89.0,0.4421,83.0,0.5986,94.0,0.4999,96.0,0.5397,100.0,0.5339,100.0,0.5281,100.0,20260116.0,35.0,245.0,1.0949548810500411
AAP,103.0,2026-02-24,50.22,0.5411,93.0,0.4955,96.0,0.5326,93.0,0.5317,93.0,0.5308,93.0,0.8491,100.0,0.5349,98.0,0.6008,99.0,0.5863,98.0,0.5719,97.0,20270115.0,7.0,609.0,1.1026894865525674
AAPB,,,34.03,0.2898,28.0,0.3466,66.0,0.5002,57.0,0.4931,44.0,0.486,41.0,0.4553,57.0,0.3761,72.0,0.4124,42.0,0.509,68.0,0.6057,84.0,20260116.0,35.0,245.0,1.032244980734131
AAPD,,,13.08,0.1512,23.0,0.1837,55.0,0.3404,74.0,,,,,0.2297,57.0,0.1947,63.0,0.3404,85.0,,,,,20260116.0,35.0,245.0,
