symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,109.0,2026-02-24,146.74,0.164,24.0,0.2547,66.0,0.2818,49.0,0.2863,50.0,0.2908,51.0,0.2898,57.0,0.2475,61.0,0.3067,61.0,0.3192,63.0,0.3317,63.0,20270115.0,35.0,609.0,1.114914425427873
AA,76.0,2026-01-22,37.32,0.5476,80.0,0.3686,64.0,0.4847,72.0,0.4818,72.0,0.479,71.0,0.4667,64.0,0.3756,63.0,0.4815,77.0,0.4952,77.0,0.5088,78.0,20270115.0,7.0,609.0,1.0278123702781237
AAAU,,,39.52,0.1915,,0.1066,,0.1624,,0.1829,,0.2034,,0.1973,,0.105,,0.1846,,0.1907,,0.1968,,20251219.0,35.0,217.0,1.042646254784035
AAL,75.0,2026-01-21,13.65,0.6129,87.0,0.4918,86.0,0.4896,76.0,0.4849,75.0,0.4802,75.0,0.4882,80.0,0.3718,64.0,0.4426,68.0,0.483,76.0,0.5234,82.0,20271217.0,7.0,945.0,0.9960816663229533
AAMI,89.0,2026-02-04,44.47,0.5155,,0.5639,,0.3734,,0.4342,,0.4951,,0.4166,,0.3293,,0.3142,,0.342,,0.3698,,20260116.0,35.0,245.0,0.7876554583141411
AAOI,109.0,2026-02-24,28.57,0.9804,80.0,1.0866,93.0,0.9769,77.0,0.9964,78.0,1.016,79.0,1.0132,83.0,0.949,88.0,1.0067,89.0,1.023,90.0,1.0393,89.0,20270115.0,7.0,609.0,1.0266961059815334
AAON,110.0,2026-02-25,105.53,0.79,98.0,0.7722,99.0,0.5852,95.0,0.5871,97.0,0.589,96.0,0.5908,94.0,0.4914,95.0,0.5169,99.0,0.519,99.0,0.521,99.0,20260116.0,35.0,245.0,0.8840061318344405
AAP,109.0,2026-02-24,48.67,0.7023,96.0,0.8888,100.0,0.5369,93.0,0.5314,93.0,0.5258,92.0,0.8461,100.0,0.5322,98.0,0.5825,99.0,0.5834,98.0,0.5842,97.0,20270115.0,7.0,609.0,1.0978547233722245
AAPB,,,32.96,0.1631,4.0,0.3699,71.0,0.4461,42.0,0.4774,38.0,0.5088,48.0,0.4534,57.0,0.3755,71.0,0.4541,59.0,0.5088,68.0,0.5635,69.0,20260116.0,35.0,245.0,1.0657729367406787
AAPD,,,13.31,0.0618,1.0,0.1928,60.0,,,,,,,0.2289,57.0,0.194,62.0,,,,,,,20260116.0,35.0,245.0,
AAPL,82.0,2026-01-28,268.47,0.0691,1.0,0.1965,40.0,0.2179,25.0,0.225,28.0,0.2322,31.0,0.226,21.0,0.1979,28.0,0.2877,35.0,0.2823,30.0,0.2769,23.0,20271217.0,7.0,945.0,1.2546666666666666
AAPU,,,35.48,0.1498,5.0,0.385,70.0,0.4186,43.0,0.4433,38.0,0.468,40.0,0.4507,60.0,0.3887,69.0,0.4709,77.0,0.5304,81.0,0.59,84.0,20260116.0,35.0,245.0,1.196480938416422
AAPW,,,41.91,0.1598,,0.2138,,,,,,1.6632,,0.2844,,0.2214,,,,,,0.8309,,20251219.0,35.0,217.0,
AAPX,,,30.6,0.156,,0.3382,,0.4213,,0.4492,,0.4771,,0.4536,,0.3726,,0.4668,,0.5154,,0.5639,,20251219.0,35.0,217.0,1.147373107747106
AAPY,,,24.77,0.0698,,0.0608,,,,,,,,0.1876,,0.1169,,,,,,,,20260116.0,35.0,245.0,
AAT,88.0,2026-02-03,19.32,0.1627,34.0,0.1802,35.0,0.2792,59.0,,,,,0.258,64.0,0.2164,55.0,0.2792,66.0,,,,,20260116.0,35.0,245.0,
