symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,82.0,2026-02-24,148.32,0.238,50.0,0.3622,88.0,0.2158,19.0,0.2508,34.0,0.2859,49.0,0.2893,57.0,0.2608,67.0,0.3089,62.0,0.3048,56.0,0.3008,45.0,20270115.0,35.0,609.0,1.215311004784689
AA,49.0,2026-01-22,44.01,0.4648,70.0,0.3743,66.0,0.4349,61.0,0.4332,61.0,0.4314,61.0,0.501,73.0,0.388,68.0,0.459,73.0,0.4928,76.0,0.5266,81.0,20270115.0,7.0,609.0,1.1375807940904894
AAAU,,,41.55,0.1019,,0.0963,,0.191,,0.2059,,0.2208,,0.1904,,0.11,,0.2084,,0.2126,,0.2168,,20251219.0,35.0,217.0,1.032540067994172
AAL,48.0,2026-01-21,14.34,0.2912,32.0,0.3552,63.0,0.4326,66.0,0.428,64.0,0.4233,63.0,0.4945,80.0,0.3818,67.0,0.4696,74.0,0.4822,76.0,0.4949,77.0,20271217.0,7.0,945.0,1.1266355140186917
AAMI,62.0,2026-02-04,46.41,0.3143,,0.3299,,0.2936,,0.5828,,0.872,,0.4286,,0.3484,,0.2936,,0.3256,,0.3576,,20260116.0,35.0,245.0,0.5586822237474263
AAOI,82.0,2026-02-24,26.0,0.7636,66.0,0.7439,72.0,0.9041,72.0,0.9034,72.0,0.9026,71.0,1.0427,85.0,0.9716,89.0,1.0058,89.0,1.0108,89.0,1.0159,87.0,20270115.0,7.0,609.0,1.118884215187071
AAON,83.0,2026-02-25,87.04,0.1974,23.0,0.3125,63.0,0.5795,95.0,0.5233,92.0,0.4671,87.0,0.5984,94.0,0.5113,97.0,0.5295,100.0,0.5277,100.0,0.5259,99.0,20260116.0,35.0,245.0,1.0084081788648958
AAP,82.0,2026-02-24,52.5,0.2023,37.0,0.3471,83.0,0.4798,89.0,0.4804,89.0,0.4809,88.0,0.5245,91.0,0.4996,95.0,0.6017,99.0,0.5804,98.0,0.5592,96.0,20270115.0,7.0,609.0,1.2081598667776854
AAPB,,,35.67,0.3079,33.0,0.3252,61.0,0.3562,19.0,0.3728,8.0,0.3895,7.0,0.4399,53.0,0.3767,72.0,0.512,78.0,0.5153,70.0,0.5186,51.0,20260116.0,35.0,245.0,1.3822424892703862
AAPD,,,12.75,0.1527,24.0,0.1721,47.0,0.3334,70.0,,,,,0.2234,56.0,0.196,64.0,0.3334,81.0,,,,,20260116.0,35.0,245.0,
AAPL,55.0,2026-01-28,280.7,0.1546,19.0,0.1745,31.0,0.1929,16.0,0.1866,14.0,0.1804,12.0,0.2202,19.0,0.1994,28.0,0.2775,32.0,0.2854,32.0,0.2933,34.0,20271217.0,7.0,945.0,1.5294748124330118
AAPU,,,38.48,0.3071,39.0,0.3412,60.0,0.3519,24.0,0.3926,24.0,0.4333,32.0,0.4385,56.0,0.3908,69.0,0.4859,82.0,0.5317,81.0,0.5776,81.0,20260116.0,35.0,245.0,1.354304635761589
AAPW,,,42.99,0.0976,,0.2136,,,,,,0.7142,,0.2774,,0.2274,,,,,,0.6737,,20251219.0,35.0,217.0,
AAPX,,,33.24,0.2645,,0.2999,,0.2764,,0.4054,,0.5344,,0.4403,,0.3755,,0.4613,,0.5014,,0.5415,,20251219.0,35.0,217.0,1.2368031573754317
AAPY,,,25.79,0.089,,0.0927,,,,,,,,0.1778,,0.1162,,,,,,,,20260116.0,35.0,245.0,
AAT,61.0,2026-02-03,18.88,0.2164,57.0,0.1353,8.0,0.2857,60.0,,,,,0.2542,63.0,0.214,54.0,0.4813,96.0,,,,,20260116.0,35.0,245.0,
AAXJ,,,92.32,0.0467,1.0,0.0792,36.0,0.1515,31.0,0.1796,51.0,0.2077,70.0,0.1446,17.0,0.0979,46.0,0.1506,24.0,0.1822,35.0,0.2137,53.0,20251219.0,35.0,217.0,1.0144766146993318
AB,62.0,2026-02-04,41.58,0.1887,28.0,0.1767,15.0,0.2058,19.0,0.2554,31.0,0.3051,48.0,0.1782,4.0,0.1798,1.0,0.1179,2.0,0.2224,16.0,0.3268,53.0,20260116.0,35.0,245.0,0.8707909162098668
ABAT,70.0,2026-02-12,4.17,1.0752,83.0,0.8261,69.0,1.2007,,1.1906,,1.1805,,1.5559,92.0,1.2583,94.0,1.2895,,1.4102,,1.5309,,20251219.0,35.0,217.0,1.184444817738955
ABBV,56.0,2026-01-29,228.71,0.2314,64.0,0.1923,48.0,0.2272,56.0,0.2264,51.0,0.2256,48.0,0.2339,45.0,0.212,47.0,0.2747,90.0,0.2736,68.0,0.2725,26.0,20270115.0,7.0,609.0,1.2084805653710249
ABCB,55.0,2026-01-28,76.81,0.1966,31.0,0.1962,18.0,0.3397,57.0,0.3227,47.0,0.3057,45.0,0.2552,36.0,0.2316,12.0,0.2699,34.0,0.2805,36.0,0.2911,40.0,20260116.0,35.0,245.0,0.8692283854973661
ABCL,83.0,2026-02-25,3.65,0.5819,53.0,0.507,32.0,0.9868,85.0,0.9612,86.0,0.9355,86.0,0.8218,94.0,0.7791,93.0,1.262,94.0,1.0108,93.0,0.7597,52.0,20260116.0,35.0,245.0,1.0516021639617144
ABEO,104.0,2026-03-18,4.89,0.7845,67.0,0.5323,20.0,0.7571,20.0,,,,,0.5532,8.0,0.5114,5.0,1.5773,86.0,,,,,20251219.0,35.0,217.0,
ABEV,,,2.58,0.172,16.0,0.1653,10.0,0.2432,16.0,0.332,41.0,0.4208,63.0,0.2493,21.0,0.2069,21.0,0.2432,23.0,0.332,42.0,0.4208,52.0,20270115.0,35.0,609.0,1.0
ABFL,,,71.98,0.0997,,0.0795,,0.1272,,0.1486,,0.1699,,0.1398,,0.1427,,0.1579,,0.1716,,0.1853,,20251219.0,35.0,217.0,1.154777927321669
ABG,55.0,2026-01-28,233.9,0.318,47.0,0.3195,51.0,0.3313,36.0,0.3192,30.0,0.3072,25.0,0.3446,41.0,0.3182,43.0,0.3578,44.0,0.3535,40.0,0.3492,38.0,20260116.0,35.0,245.0,1.1074561403508771
ABL,111.0,2026-03-25,6.96,0.458,55.0,0.6652,83.0,0.5111,,0.5893,,0.6674,,0.6272,59.0,0.5737,45.0,0.6904,,0.777,,0.8636,,20270115.0,35.0,609.0,1.3185134905820464
ABM,13.0,2025-12-17,44.29,0.1335,17.0,0.1829,28.0,0.2912,53.0,0.3519,64.0,0.4126,79.0,0.2331,31.0,0.2211,27.0,0.319,68.0,0.3332,67.0,0.3475,71.0,20260116.0,35.0,245.0,0.9468599033816424
ABNB,69.0,2026-02-11,120.94,0.2552,22.0,0.2435,20.0,0.3032,16.0,0.2975,14.0,0.2918,13.0,0.2622,11.0,0.2363,15.0,0.3817,19.0,0.3866,15.0,0.3916,10.0,20270115.0,7.0,609.0,1.2994957983193278
ABNY,,,44.42,0.1423,8.0,0.0,1.0,,,,,0.4162,,0.223,42.0,0.0,1.0,,,,,0.6325,,20260116.0,35.0,245.0,
ABOS,111.0,2026-03-25,2.0,1.1701,90.0,0.876,74.0,,,,,,,0.9037,66.0,0.854,63.0,,,,,,,20260116.0,35.0,245.0,
ABR,77.0,2026-02-19,8.96,0.362,82.0,0.3205,80.0,0.3056,57.0,0.2678,28.0,0.23,7.0,0.3473,69.0,0.3097,66.0,0.2596,73.0,0.4048,70.0,0.55,68.0,20270115.0,7.0,609.0,1.511575802837939
ABSI,102.0,2026-03-16,3.67,0.8859,63.0,0.8406,47.0,0.8372,7.0,0.8827,6.0,0.9282,15.0,0.9367,35.0,0.7764,1.0,0.6772,1.0,0.8027,1.0,0.9282,18.0,20251121.0,35.0,189.0,0.90936898153393
ABT,47.0,2026-01-20,125.4,0.118,22.0,0.1679,51.0,0.1928,51.0,0.1942,51.0,0.1955,50.0,0.2179,66.0,0.2001,68.0,0.1986,39.0,0.2364,61.0,0.2741,77.0,20270115.0,7.0,609.0,1.2173017507723995
ABTC,116.0,2026-03-30,2.42,3.0916,,1.8403,,1.9103,,1.9163,,1.9223,,0.0,,0.0,,1.4952,,1.4657,,1.4363,,,,,0.7648593644001461
ABUS,111.0,2026-03-25,4.43,0.5159,52.0,0.4382,24.0,0.6612,16.0,0.8626,41.0,1.0639,72.0,0.4248,17.0,0.4505,18.0,1.5456,84.0,1.6248,92.0,1.7039,98.0,20270115.0,35.0,609.0,1.8836076976582423
ABVC,,,2.53,0.4193,,0.4874,,,,,,,,1.1618,,0.9668,,,,,,,,,,,
ABVE,,,2.75,1.3688,,1.3617,,2.5114,,2.4754,,2.4395,,3.1921,,2.3664,,1.7164,,1.8802,,2.0439,,,,,0.7595540114728933
ABVX,,,109.64,0.367,,0.4757,,1.0081,,1.0057,,1.0033,,2.7839,,0.5369,,0.8246,,0.8229,,0.8212,,,,,0.8182360544894103
ACA,83.0,2026-02-25,107.16,0.1081,2.0,0.2625,43.0,0.2982,21.0,0.3294,27.0,0.3607,42.0,0.3285,35.0,0.2647,23.0,0.3511,53.0,0.348,49.0,0.345,45.0,20251219.0,35.0,217.0,1.0564663023679417
ACAD,82.0,2026-02-24,26.59,0.1787,3.0,0.3281,14.0,0.3796,3.0,0.446,9.0,0.5124,21.0,0.3713,1.0,0.3636,3.0,0.4693,8.0,0.493,12.0,0.5166,17.0,20251219.0,35.0,217.0,1.1053811659192825
ACB,,,4.59,0.2587,4.0,0.3399,3.0,0.6469,15.0,0.6516,12.0,0.6563,12.0,0.7836,40.0,0.5477,15.0,0.7074,31.0,0.8029,27.0,0.8983,36.0,20270115.0,35.0,609.0,1.23219766728054
ACCO,76.0,2026-02-18,3.56,0.3206,53.0,0.2476,27.0,0.4553,63.0,,,,,0.3557,39.0,0.326,55.0,0.4553,73.0,,,,,20251219.0,35.0,217.0,
ACDC,90.0,2026-03-04,4.33,0.9057,87.0,0.9412,94.0,0.6131,28.0,0.9851,93.0,1.3571,99.0,1.1568,100.0,0.7433,88.0,0.8558,96.0,0.8657,97.0,0.8756,88.0,20251121.0,35.0,189.0,0.8787940310628363
ACEL,83.0,2026-02-25,10.41,0.2438,30.0,0.2667,38.0,0.377,22.0,0.4362,28.0,0.4954,47.0,0.351,37.0,0.2677,18.0,0.377,28.0,0.4201,32.0,0.4632,38.0,20260116.0,35.0,245.0,0.9630903255387436
