symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,119.0,,,117.63999938964844,,0.2364,50.0,0.2042,43.0,0.2389,28.0,0.243,30.0,0.247,32.0,0.3408,76.0,0.2975,79.0,0.3079,62.0,0.3036,56.0,0.2992,44.0,20270115.0,35.0,609.0
AA,154.0,,,28.799999237060547,,0.313,42.0,0.2633,34.0,0.4644,69.0,0.456,67.0,0.4476,65.0,0.5482,79.0,0.4737,83.0,0.4489,71.0,0.4734,73.0,0.4979,76.0,20270115.0,7.0,609.0
AAAU,,,,32.834999084472656,,0.1612,,0.0866,,0.1979,,0.186,,0.1742,,0.1947,,0.1011,,0.1613,,0.1728,,0.1844,,20251219.0,35.0,217.0
AACT,,,,11.300000190734863,,0.0126,,0.0291,,,,,,,,0.0321,,0.0338,,,,,,,,,,
AAL,153.0,,,11.369999885559082,,0.5867,85.0,0.3925,73.0,0.4386,68.0,0.4234,64.0,0.4082,59.0,0.6017,90.0,0.4685,83.0,0.4735,76.0,0.4828,77.0,0.4922,77.0,20271217.0,7.0,945.0
AAMI,139.0,,,33.04999923706055,,0.2489,,0.1907,,0.2555,,,,,,0.0,,0.0,,0.271,,,,,,20260116.0,35.0,245.0
AAOI,119.0,,,23.290000915527344,,1.6159,95.0,1.1297,94.0,0.995,80.0,1.0146,81.0,1.0343,81.0,1.364,95.0,1.1181,96.0,0.9778,87.0,0.9943,88.0,1.0108,88.0,20270115.0,7.0,609.0
AAON,118.0,,,73.25,,0.1882,20.0,0.3822,85.0,0.4081,79.0,0.4112,77.0,0.4143,79.0,0.6705,99.0,0.4953,97.0,0.4845,99.0,0.4816,99.0,0.4787,98.0,20260116.0,35.0,245.0
AAP,119.0,,,48.2599983215332,,0.6498,96.0,0.4355,93.0,0.4501,87.0,0.4394,85.0,0.4288,82.0,0.871,100.0,0.5272,98.0,0.551,97.0,0.5366,96.0,0.5222,94.0,20270115.0,7.0,609.0
AAPB,,,,19.260000228881836,,0.4201,,0.323,,0.4906,,0.4494,,0.4081,,0.7934,,0.5984,,0.5222,,0.5432,,0.5643,,20260116.0,35.0,245.0
AAPD,,,,17.940000534057617,,0.2102,,0.1674,,0.2989,,,,,,0.4121,,0.3138,,0.2117,,,,,,20260116.0,35.0,245.0
AAPL,146.0,,,200.3000030517578,,0.2097,37.0,0.1698,28.0,0.2361,32.0,0.2322,31.0,0.2284,30.0,0.4021,83.0,0.3151,72.0,0.2714,30.0,0.2952,36.0,0.3191,46.0,20271217.0,7.0,945.0
AAPU,,,,20.969999313354492,,0.4244,,0.3333,,0.447,,0.4514,,0.4558,,0.7916,,0.6143,,0.4169,,0.4893,,0.5618,,20260116.0,35.0,245.0
AAPW,,,,35.14149856567383,,0.241,,0.1628,,,,,,0.4164,,0.0,,0.0,,,,,,0.6143,,20251219.0,35.0,217.0
AAPX,,,,18.11000061035156,,0.4171,,0.3076,,0.4461,,0.5088,,0.5716,,0.8249,,0.5937,,0.5048,,0.5277,,0.5507,,20251219.0,35.0,217.0
AAPY,,,,20.9950008392334,,0.2265,,0.1358,,,,,,0.3372,,0.3491,,0.202,,,,,,0.354,,20260116.0,35.0,245.0
AAT,141.0,,,19.979999542236328,,0.1839,44.0,0.2163,60.0,,,,,,,0.2976,79.0,0.2731,82.0,,,,,,,20260116.0,35.0,245.0
AAXJ,,,,82.27999877929688,,0.2331,82.0,0.0894,49.0,0.1941,66.0,0.1782,49.0,0.1623,30.0,0.2251,81.0,0.1321,87.0,0.1588,32.0,0.1606,11.0,0.1623,3.0,20251219.0,35.0,217.0
AB,139.0,,,40.38999938964844,,0.2084,36.0,0.1869,19.0,0.1891,12.0,0.2496,28.0,0.3102,50.0,0.3405,73.0,0.2911,61.0,0.1533,11.0,0.2561,34.0,0.3589,66.0,20260116.0,35.0,245.0
ABAT,223.0,,,1.25,,0.4805,38.0,0.596,53.0,1.1061,,1.0852,,1.0644,,1.4407,90.0,1.3063,99.0,0.9445,,1.0044,,1.0644,,20251219.0,35.0,217.0
ABBV,145.0,,,185.5500030517578,,0.1882,49.0,0.1827,42.0,0.216,49.0,0.2159,44.0,0.2158,42.0,0.2861,73.0,0.2811,84.0,0.275,90.0,0.2769,75.0,0.2787,34.0,20270115.0,7.0,609.0
ABCB,146.0,,,63.27000045776367,,0.2831,61.0,0.1982,18.0,0.3428,57.0,0.325,48.0,0.3072,46.0,0.3311,70.0,0.2761,47.0,0.2801,42.0,0.2748,31.0,0.2695,22.0,20260116.0,35.0,245.0
ABCL,118.0,,,3.680000066757202,,0.8997,91.0,0.9007,96.0,1.0138,89.0,0.9537,,0.8936,,0.7762,93.0,0.7125,86.0,0.9334,76.0,0.9329,,0.9324,,20260116.0,35.0,245.0
ABEO,97.0,,,5.860000133514404,,0.232,2.0,0.4451,7.0,0.7837,23.0,,,,,0.6373,16.0,0.6704,14.0,0.7255,23.0,,,,,20251219.0,35.0,217.0
ABEV,119.0,,,2.4000000953674316,,0.1357,6.0,0.1797,17.0,0.2637,22.0,0.2944,24.0,0.325,19.0,0.2884,43.0,0.2532,52.0,0.2637,28.0,0.3013,27.0,0.3389,20.0,20270115.0,35.0,609.0
ABFL,,,,70.07929992675781,,0.1708,,0.0826,,0.1314,,0.1435,,0.1556,,0.2398,,0.1512,,0.1399,,0.1637,,0.1875,,20251219.0,35.0,217.0
ABG,146.0,,,245.9900054931641,,0.363,57.0,0.2101,11.0,0.3095,27.0,0.3089,25.0,0.3083,26.0,0.3979,57.0,0.3551,57.0,0.3531,42.0,0.3523,40.0,0.3515,39.0,20260116.0,35.0,245.0
ABL,230.0,,,5.449999809265137,,0.6627,,0.7294,,0.8066,,0.772,,0.7374,,0.5705,,0.644,,0.4349,,0.6612,,0.8874,,20270115.0,35.0,609.0
ABM,105.0,,,45.040000915527344,,0.2935,69.0,0.2084,43.0,0.2891,53.0,0.2372,22.0,0.1854,2.0,0.3426,71.0,0.3203,78.0,0.3079,65.0,0.305,56.0,0.302,52.0,20260116.0,35.0,245.0
ABNB,132.0,,,132.14999389648438,,0.2516,21.0,0.1971,6.0,0.2759,8.0,0.2764,8.0,0.277,8.0,0.4553,57.0,0.3433,51.0,0.3757,12.0,0.3866,13.0,0.3975,11.0,20270115.0,7.0,609.0
ABNY,,,,11.8100004196167,,0.2001,,0.1958,,0.2491,,0.5027,,0.7563,,0.3726,,0.2521,,0.2491,,0.5027,,0.7563,,20260116.0,35.0,245.0
ABOS,225.0,,,1.2599999904632568,,0.7293,,0.784,,,,,,,,0.7385,,0.8038,,,,,,,,20260116.0,35.0,245.0
ABR,124.0,,,10.550000190734863,,0.3008,74.0,0.2637,70.0,0.2634,43.0,0.34,57.0,0.4166,72.0,0.4227,89.0,0.4034,94.0,0.1817,41.0,0.3972,69.0,0.6127,82.0,20270115.0,7.0,609.0
ABSI,99.0,,,2.809999942779541,,0.3602,,0.5983,,1.0829,,1.0759,,1.0689,,0.9459,,0.9438,,3.4287,,2.2174,,1.0061,,20251121.0,35.0,189.0
ABT,154.0,,,138.0800018310547,,0.2605,80.0,0.2213,78.0,0.2171,66.0,0.2197,66.0,0.2223,66.0,0.2288,71.0,0.2255,83.0,0.2418,69.0,0.2374,62.0,0.233,40.0,20270115.0,7.0,609.0
ABUS,231.0,,,3.369999885559082,,0.2579,10.0,0.3916,15.0,0.7405,25.0,,,,,0.4452,22.0,0.4827,19.0,1.3884,81.0,,,,,20270115.0,35.0,609.0
ACA,118.0,,,88.0199966430664,,0.2939,53.0,0.2506,38.0,0.3142,26.0,0.3174,23.0,0.3205,27.0,0.3746,65.0,0.3176,54.0,0.3102,20.0,0.3082,17.0,0.3061,15.0,20251219.0,35.0,217.0
ACAD,119.0,,,22.40999984741211,,0.2412,9.0,0.3458,18.0,0.5563,30.0,0.5484,27.0,0.5404,26.0,0.5564,28.0,0.5069,40.0,0.5255,19.0,0.531,19.0,0.5364,19.0,20251219.0,35.0,217.0
ACB,140.0,,,3.9800000190734863,,1.4967,93.0,0.7563,69.0,0.6757,20.0,0.7128,21.0,0.75,24.0,0.8845,50.0,0.6492,40.0,1.9548,100.0,1.3884,98.0,0.822,18.0,20270115.0,35.0,609.0
ACCO,125.0,,,3.4800000190734863,,0.3475,62.0,0.2979,51.0,,,,,,,0.4845,89.0,0.3806,84.0,,,,,,,20251219.0,35.0,217.0
ACDC,111.0,,,8.229999542236328,,1.19,,0.9512,,0.7292,,0.7686,,0.808,,1.0082,,0.874,,0.7175,,0.8061,,0.8947,,20251121.0,35.0,189.0
ACEL,238.0,,,11.729999542236328,,0.3135,49.0,0.1982,12.0,0.3318,10.0,,,,,0.3214,24.0,0.2903,33.0,0.313,5.0,,,,,20260116.0,35.0,245.0
ACES,,,,25.510000228881836,,0.3981,70.0,0.2048,16.0,0.3136,26.0,0.3536,35.0,0.3935,50.0,0.3407,34.0,0.2665,42.0,0.2286,4.0,0.2702,8.0,0.3118,14.0,20251219.0,35.0,217.0
ACET,111.0,,,0.65420001745224,,0.5455,65.0,0.7011,79.0,,,,,,,1.023,87.0,0.8848,92.0,,,,,,,20260116.0,35.0,245.0
ACGL,135.0,,,90.97000122070312,,0.1164,24.0,0.1496,38.0,0.2294,61.0,0.2028,42.0,0.1763,21.0,0.2791,87.0,0.2423,84.0,0.2459,67.0,0.2571,72.0,0.2683,77.0,20251219.0,35.0,217.0
ACHC,118.0,,,21.520000457763672,,0.455,84.0,0.4306,84.0,0.703,96.0,0.7484,97.0,0.7937,98.0,0.6292,95.0,0.4883,88.0,0.6464,100.0,0.6897,100.0,0.733,100.0,20260116.0,35.0,245.0
ACHR,118.0,,,10.729999542236328,,1.198,,0.5719,,0.6452,,0.6505,,0.6558,,1.0211,,0.8895,,0.8271,,0.8263,,0.8255,,20270115.0,7.0,609.0
ACHV,106.0,,,3.809999942779541,,1.0681,,0.8786,,,,,,1.5621,,0.8315,,0.7878,,,,,,1.5621,,20251219.0,35.0,217.0
ACI,168.0,,,21.690000534057617,,0.3007,34.0,0.2116,14.0,0.2964,10.0,0.2646,5.0,0.2327,4.0,0.2822,14.0,0.2421,13.0,0.1947,3.0,0.2397,1.0,0.2847,2.0,20270115.0,7.0,609.0
ACIC,118.0,,,10.529999732971191,,0.3284,,0.2804,,0.3474,,0.387,,0.4266,,0.3584,,0.3819,,0.446,,0.444,,0.4421,,20251121.0,35.0,189.0
ACIO,,,,40.8849983215332,,0.0843,,0.0775,,0.1087,,0.1432,,0.1777,,0.1478,,0.1195,,0.1087,,0.1432,,0.1777,,20251121.0,35.0,189.0
ACIU,104.0,,,2.1050000190734863,,1.077,90.0,0.894,84.0,,,,,,,0.5886,16.0,0.6424,18.0,,,,,,,20251121.0,35.0,189.0
ACIW,118.0,,,46.040000915527344,,0.3131,63.0,0.2353,33.0,0.3811,60.0,0.3546,52.0,0.328,44.0,0.3969,73.0,0.3332,66.0,0.3574,68.0,0.3508,65.0,0.3442,60.0,20251121.0,35.0,189.0
ACLS,135.0,,,69.63999938964844,,0.6337,73.0,0.4,35.0,0.4969,45.0,0.5082,47.0,0.5196,50.0,0.5873,63.0,0.5025,57.0,0.5812,78.0,0.578,77.0,0.5748,75.0,20251219.0,35.0,217.0
ACLX,118.0,,,63.349998474121094,,0.2466,,0.4326,,0.4856,,0.5002,,0.5148,,0.5897,,0.6401,,0.5355,,0.5377,,0.5399,,20251219.0,35.0,217.0
ACM,142.0,,,112.36000061035156,,0.1881,28.0,0.1663,13.0,0.2205,9.0,0.253,21.0,0.2856,38.0,0.2524,31.0,0.2546,48.0,0.2485,10.0,0.2484,7.0,0.2484,6.0,20260417.0,35.0,336.0
ACMR,119.0,,,26.174999237060547,,0.6241,62.0,0.3804,33.0,0.5533,47.0,0.5658,47.0,0.5782,48.0,0.7748,61.0,0.598,69.0,0.6331,49.0,0.6406,48.0,0.6482,50.0,20270115.0,35.0,609.0
ACN,97.0,,,300.7200012207031,,0.5398,96.0,0.2909,84.0,0.1961,35.0,0.1916,32.0,0.1872,28.0,0.3,75.0,0.2373,71.0,0.2788,74.0,0.2749,65.0,0.271,43.0,20270115.0,7.0,609.0
ACNB,153.0,,,42.02000045776367,,0.2408,,0.2494,,0.2994,,0.2982,,0.297,,0.2806,,0.3009,,0.2994,,0.3213,,0.3431,,20260116.0,35.0,245.0
ACNT,413.0,,,12.649999618530272,,0.3524,,0.3819,,,,,,,,0.2669,,0.2964,,,,,,,,20251219.0,35.0,217.0
ACR,112.0,,,17.829999923706055,,0.3108,57.0,0.2871,48.0,0.342,,0.3496,,0.3573,,0.3876,62.0,0.4061,83.0,0.342,,0.3496,,0.3573,,20251121.0,35.0,189.0
ACRE,133.0,,,4.989999771118164,,0.2583,68.0,0.2933,79.0,0.2477,33.0,,,,,0.4606,94.0,0.3909,94.0,0.2477,36.0,,,,,20251121.0,35.0,189.0
ACRS,118.0,,,1.5199999809265137,,0.7454,72.0,0.631,52.0,2.798,97.0,,,,,0.6419,40.0,0.7219,62.0,2.798,98.0,,,,,20251219.0,35.0,217.0
ACT,141.0,,,37.435001373291016,,0.2687,75.0,0.217,56.0,0.2613,36.0,0.271,37.0,0.2808,42.0,0.2245,38.0,0.2276,41.0,0.2476,15.0,0.2747,20.0,0.3018,45.0,20260116.0,35.0,245.0
ACTG,104.0,,,3.650000095367432,,0.2814,27.0,0.3217,22.0,,,,,,,0.4389,35.0,0.3938,24.0,,,,,,,20251121.0,35.0,189.0
ACVA,126.0,,,16.200000762939453,,0.5156,57.0,0.3391,18.0,0.4136,9.0,0.4716,,0.5297,,0.5007,48.0,0.4864,56.0,0.4958,12.0,0.5049,,0.514,,20251121.0,35.0,189.0
ACWI,,,,126.5,,0.1562,64.0,0.0875,45.0,0.1222,47.0,0.1164,33.0,0.1107,23.0,0.22,80.0,0.1677,84.0,0.1249,46.0,0.1581,51.0,0.1914,53.0,20270115.0,35.0,609.0
ACWV,,,,117.6999969482422,,0.1103,71.0,0.0623,41.0,0.0944,54.0,0.1526,84.0,0.2108,93.0,0.1363,78.0,0.1137,82.0,0.0893,53.0,0.1067,37.0,0.1241,16.0,20260116.0,35.0,245.0
ACWX,,,,60.189998626708984,,0.1764,67.0,0.0912,54.0,0.1272,42.0,0.1226,24.0,0.1179,14.0,0.1937,70.0,0.1305,76.0,0.1213,35.0,0.1421,27.0,0.1629,26.0,20251219.0,35.0,217.0
ACXP,100.0,,,0.6284999847412109,,6.523,,2.2383,,,,,,,,1.8243,,0.9685,,,,,,,,20260116.0,35.0,245.0
ADAP,224.0,,,0.2538000047206878,,0.5235,32.0,0.6576,35.0,,,,,,,1.1005,91.0,1.0693,89.0,,,,,,,20251219.0,35.0,217.0
ADBE,105.0,,,382.3399963378906,,0.4747,87.0,0.2896,72.0,0.2087,13.0,0.2077,13.0,0.2067,13.0,0.3532,68.0,0.2559,51.0,0.3365,60.0,0.3434,62.0,0.3503,64.0,20271217.0,7.0,945.0
ADC,134.0,,,74.9000015258789,,0.1876,57.0,0.17,40.0,0.2122,41.0,0.1908,16.0,0.1694,7.0,0.1926,48.0,0.2008,56.0,0.1961,44.0,0.1805,12.0,0.1649,3.0,20260116.0,35.0,245.0
