symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,111.0,2026-02-24,146.77,0.2087,40.0,0.2576,67.0,0.3082,59.0,0.2954,53.0,0.2827,48.0,0.309,65.0,0.2502,62.0,0.3066,61.0,0.3162,62.0,0.3257,61.0,20270115.0,35.0,609.0,1.070412999322952
AA,,,35.74,0.4583,69.0,0.296,45.0,0.5959,88.0,0.5514,83.0,0.5068,76.0,0.4791,68.0,0.3721,62.0,0.4885,78.0,0.5104,80.0,0.5322,82.0,20270115.0,7.0,609.0,0.9256438157417484
AAAU,,,39.33,0.1972,,0.1364,,0.1822,,0.1849,,0.1876,,0.2017,,0.105,,0.1887,,0.1955,,0.2023,,20251219.0,35.0,217.0,1.057328285559762
AAL,,,13.42,0.6734,90.0,0.4456,81.0,0.4695,73.0,0.4638,72.0,0.458,71.0,0.4948,80.0,0.3694,64.0,0.4571,71.0,0.4654,72.0,0.4736,72.0,20271217.0,7.0,945.0,1.0034497628288055
AAMI,,,43.6,0.4675,,0.5421,,0.4678,,0.4025,,0.3372,,0.4172,,0.3266,,0.3337,,0.3409,,0.3482,,20260116.0,35.0,245.0,0.8469565217391304
AAOI,111.0,2026-02-24,31.51,0.9284,77.0,0.8816,85.0,1.4517,94.0,1.4415,94.0,1.4313,94.0,1.061,86.0,0.9522,88.0,1.0128,90.0,1.0288,90.0,1.0448,90.0,20270115.0,7.0,609.0,0.7137010058966354
AAON,112.0,2026-02-25,93.46,0.4921,91.0,0.408,89.0,0.8754,100.0,0.8907,100.0,0.906,100.0,0.5812,93.0,0.4662,94.0,0.5407,100.0,0.5641,100.0,0.5876,100.0,20260116.0,35.0,245.0,0.6333221062086
AAP,111.0,2026-02-24,48.66,0.6775,96.0,0.8803,100.0,0.6088,96.0,0.5836,95.0,0.5585,94.0,0.8514,100.0,0.53,98.0,0.6093,99.0,0.5911,98.0,0.5729,97.0,20270115.0,7.0,609.0,1.0128512679917752
AAPB,,,33.36,0.1495,2.0,0.3327,62.0,0.4326,39.0,0.4586,32.0,0.4845,41.0,0.4818,68.0,0.3756,71.0,0.4396,53.0,0.4952,65.0,0.5509,66.0,20260116.0,35.0,245.0,1.0798081116441345
AAPD,,,13.21,0.0514,1.0,0.175,49.0,0.2927,52.0,,,,,0.2462,65.0,0.1944,63.0,0.2927,65.0,,,,,20260116.0,35.0,245.0,
AAPL,,,270.14,0.0633,1.0,0.1779,33.0,0.2239,28.0,0.2235,27.0,0.2231,27.0,0.2413,27.0,0.198,28.0,0.2836,33.0,0.2785,28.0,0.2734,21.0,20271217.0,7.0,945.0,1.2460850111856825
AAPU,,,35.95,0.14,4.0,0.3467,61.0,0.4441,50.0,0.4376,36.0,0.4312,31.0,0.4796,72.0,0.3886,68.0,0.4754,78.0,0.5227,80.0,0.57,79.0,20260116.0,35.0,245.0,1.1944698354661794
AAPW,,,42.47,0.1622,,0.2113,,,,,,1.5462,,0.3004,,0.2238,,,,,,0.798,,20251219.0,35.0,217.0,
AAPX,,,31.06,0.1897,,0.3063,,0.5626,,0.4638,,0.3651,,0.4839,,0.3732,,0.4796,,0.5108,,0.5419,,20251219.0,35.0,217.0,1.1013367830961622
AAPY,,,24.92,0.0977,,0.0462,,0.2216,,,,,,0.2016,,0.1168,,0.2216,,,,,,20260116.0,35.0,245.0,
AAT,,,18.85,0.3628,88.0,0.249,72.0,0.3073,64.0,,,,,0.2569,63.0,0.2166,55.0,0.3073,73.0,,,,,20260116.0,35.0,245.0,
AAXJ,,,94.54,0.1716,59.0,0.0796,36.0,0.2539,90.0,0.2841,94.0,0.3143,94.0,0.1455,18.0,0.0791,13.0,0.167,41.0,0.1894,44.0,0.2118,50.0,20251219.0,35.0,217.0,0.6666666666666666
AB,,,39.62,0.1805,26.0,0.1739,14.0,0.2339,32.0,0.2812,45.0,0.3285,57.0,0.182,4.0,0.1853,2.0,0.2268,42.0,0.2397,25.0,0.2526,16.0,20260116.0,35.0,245.0,0.8524182076813656
ABAT,,,3.98,1.2232,88.0,0.9826,80.0,1.3075,,1.3506,,1.3938,,1.4854,89.0,1.2253,93.0,1.2689,,1.394,,1.5191,,20251219.0,35.0,217.0,1.0321338664297348
