symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,112.0,2026-02-24,146.08,0.2135,42.0,0.2311,56.0,0.2964,55.0,0.3007,55.0,0.305,57.0,0.3102,66.0,0.2496,62.0,0.324,69.0,0.3247,66.0,0.3254,61.0,20270115.0,35.0,609.0,1.0798137678749584
AA,,,35.26,0.4545,69.0,0.3081,48.0,0.5376,81.0,0.5444,82.0,0.5512,83.0,0.4789,68.0,0.3718,62.0,0.5494,88.0,0.521,83.0,0.4925,74.0,20270115.0,7.0,609.0,0.9570168993387216
AAAU,,,38.88,0.2404,,0.1468,,0.1954,,0.1944,,0.1933,,0.2014,,0.1051,,0.2063,,0.202,,0.1977,,20251219.0,35.0,217.0,1.0390946502057614
AAL,,,12.65,0.5422,81.0,0.4122,76.0,0.5086,78.0,0.5108,78.0,0.5131,79.0,0.4879,80.0,0.3666,63.0,0.4897,78.0,0.5154,82.0,0.5412,84.0,20271217.0,7.0,945.0,1.009005481597494
AAMI,,,43.17,0.5205,,0.5484,,0.5042,,0.4164,,0.3285,,0.4172,,0.3254,,0.398,,0.3596,,0.3211,,20260116.0,35.0,245.0,0.8635926993275695
AAOI,112.0,2026-02-24,29.5,1.0325,83.0,0.899,86.0,1.6347,97.0,1.5983,97.0,1.5618,96.0,1.0576,85.0,0.9642,89.0,0.9967,88.0,0.9959,87.0,0.9951,84.0,20270115.0,7.0,609.0,0.6230995432647187
AAON,113.0,2026-02-25,89.93,0.3165,64.0,0.397,87.0,0.8792,100.0,0.8043,100.0,0.7294,99.0,0.5786,93.0,0.4646,94.0,0.5775,100.0,0.5568,100.0,0.5361,100.0,20260116.0,35.0,245.0,0.6922790003729951
AAP,112.0,2026-02-24,48.09,0.7267,96.0,0.8749,100.0,0.6195,96.0,0.6047,96.0,0.5899,95.0,0.8518,100.0,0.5297,98.0,0.5851,99.0,0.5826,98.0,0.5801,97.0,20270115.0,7.0,609.0,0.9634529518769638
AAPB,,,33.39,0.3054,32.0,0.3341,63.0,0.4412,42.0,0.4532,32.0,0.4651,34.0,0.4818,68.0,0.3754,71.0,0.451,57.0,0.5032,67.0,0.5554,67.0,20260116.0,35.0,245.0,1.1103265666372462
AAPD,,,13.21,0.1492,22.0,0.1738,48.0,0.2159,22.0,,,,,0.2462,65.0,0.1942,62.0,0.2159,26.0,,,,,20260116.0,35.0,245.0,
AAPL,,,270.04,0.1451,16.0,0.1767,32.0,0.236,32.0,0.2338,31.0,0.2317,31.0,0.2413,27.0,0.1979,28.0,0.2898,35.0,0.2825,30.0,0.2752,22.0,20271217.0,7.0,945.0,1.2082976903336182
AAPU,,,35.96,0.2938,36.0,0.3437,60.0,0.4665,56.0,0.4752,47.0,0.4839,45.0,0.4797,72.0,0.3883,68.0,0.4803,80.0,0.5246,80.0,0.5689,79.0,20260116.0,35.0,245.0,1.1039562289562288
AAPW,,,42.38,0.1924,,0.2006,,0.2093,,0.4906,,0.772,,0.3002,,0.2228,,0.1423,,0.4583,,0.7743,,20251219.0,35.0,217.0,0.934162250305748
AAPX,,,31.12,0.2928,,0.3094,,0.4843,,0.4768,,0.4693,,0.4827,,0.3732,,0.4603,,0.5088,,0.5572,,20251219.0,35.0,217.0,1.0671140939597317
AAPY,,,24.88,0.13,,0.0585,,0.1207,,0.2687,,0.4167,,0.2011,,0.117,,0.1207,,0.2687,,0.4167,,20260116.0,35.0,245.0,1.0
AAT,,,18.98,0.3748,89.0,0.2451,71.0,0.2723,57.0,,,,,0.2568,63.0,0.2162,55.0,0.3376,81.0,,,,,20260116.0,35.0,245.0,
AAXJ,,,93.81,0.1873,66.0,0.0692,22.0,0.2221,82.0,0.2133,76.0,0.2045,68.0,0.1454,18.0,0.0788,12.0,0.1766,51.0,0.192,49.0,0.2073,44.0,20251219.0,35.0,217.0,0.9001406469760901
AB,,,39.22,0.1845,27.0,0.1682,11.0,0.2592,46.0,0.2775,43.0,0.2958,44.0,0.1814,4.0,0.185,2.0,0.1381,6.0,0.2058,10.0,0.2734,25.0,20260116.0,35.0,245.0,0.7416216216216216
ABAT,100.0,2026-02-12,3.93,1.1989,87.0,1.1098,88.0,1.9891,,1.8592,,1.7293,,1.4856,89.0,1.2252,93.0,1.5551,,1.43,,1.305,,20251219.0,35.0,217.0,0.7691480206540448
