symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,84.0,2026-02-24,148.81,0.376,81.0,0.3825,90.0,0.2836,50.0,0.2702,44.0,0.2569,37.0,0.2899,57.0,0.2594,66.0,0.3286,71.0,0.3098,57.0,0.2911,36.0,20270115.0,35.0,609.0,1.146558105107328
AA,51.0,2026-01-22,41.45,0.4506,68.0,0.4062,73.0,0.4763,71.0,0.481,72.0,0.4856,72.0,0.4945,72.0,0.3854,67.0,0.4983,81.0,0.4865,75.0,0.4747,71.0,20270115.0,7.0,609.0,1.0114345114345114
AAAU,,,41.55,0.1286,,0.1066,,0.1979,,0.2142,,0.2305,,0.1916,,0.1101,,0.2021,,0.2092,,0.2163,,20251219.0,35.0,217.0,0.976657329598506
AAL,50.0,2026-01-21,14.24,0.2886,32.0,0.4021,74.0,0.4911,76.0,0.4972,77.0,0.5032,77.0,0.4968,80.0,0.3816,67.0,0.4828,76.0,0.484,76.0,0.4851,75.0,20271217.0,7.0,945.0,0.9734513274336284
AAMI,64.0,2026-02-04,43.65,0.2358,,0.2821,,0.3701,,0.5178,,0.6656,,0.4262,,0.3456,,0.3331,,0.3321,,0.3311,,20260116.0,35.0,245.0,0.6413673232908459
AAOI,84.0,2026-02-24,26.02,0.8029,69.0,0.889,85.0,1.0038,79.0,0.9676,75.0,0.9314,73.0,1.043,85.0,0.9717,89.0,1.0846,96.0,1.053,92.0,1.0215,88.0,20270115.0,7.0,609.0,1.0882596114096734
AAON,85.0,2026-02-25,91.06,0.2655,48.0,0.3593,79.0,0.5427,93.0,0.5419,93.0,0.5411,94.0,0.5986,94.0,0.5105,97.0,0.5265,100.0,0.5297,100.0,0.5329,100.0,20260116.0,35.0,245.0,0.977486621147813
AAP,84.0,2026-02-24,52.69,0.4145,85.0,0.4265,92.0,0.5042,91.0,0.5037,91.0,0.5033,91.0,0.5234,91.0,0.4995,95.0,0.5868,99.0,0.5856,98.0,0.5843,97.0,20270115.0,7.0,609.0,1.1625967837998807
AAPB,,,37.23,0.2168,12.0,0.3654,70.0,0.3857,26.0,0.4246,23.0,0.4636,34.0,0.4407,54.0,0.3785,73.0,0.4308,49.0,0.4911,64.0,0.5514,66.0,20260116.0,35.0,245.0,1.1566179934055585
AAPD,,,12.5,0.1105,9.0,0.1869,57.0,0.3098,59.0,,,,,0.2236,56.0,0.1967,64.0,0.2747,57.0,,,,,20260116.0,35.0,245.0,
AAPL,57.0,2026-01-28,286.19,0.1092,7.0,0.1916,38.0,0.1926,16.0,0.193,16.0,0.1933,16.0,0.2205,19.0,0.2001,30.0,0.2789,32.0,0.2858,32.0,0.2926,33.0,20271217.0,7.0,945.0,1.4808290155440411
AAPU,,,40.08,0.2125,15.0,0.3711,67.0,0.3807,31.0,0.3952,24.0,0.4096,26.0,0.4393,57.0,0.3923,70.0,0.4954,84.0,0.5326,82.0,0.5698,79.0,20260116.0,35.0,245.0,1.347672064777328
AAPW,,,43.88,0.135,,0.2424,,,,,,0.6695,,0.2804,,0.2283,,,,,,0.7346,,20251219.0,35.0,217.0,
AAPX,,,34.69,0.2442,,0.346,,0.4912,,0.4331,,0.375,,0.4417,,0.3774,,0.4697,,0.4924,,0.515,,20251219.0,35.0,217.0,1.13691987993535
AAPY,,,26.07,0.0966,,0.1039,,,,,,0.2885,,0.1794,,0.1184,,,,,,0.2885,,20260116.0,35.0,245.0,
AAT,63.0,2026-02-03,19.44,0.1906,46.0,0.1695,28.0,0.2606,54.0,,,,,0.2529,62.0,0.2145,54.0,0.4796,96.0,,,,,20260116.0,35.0,245.0,
