symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,83.0,2026-02-24,149.26,0.2669,59.0,0.3435,86.0,0.2692,43.0,0.2356,27.0,0.2019,11.0,0.2892,57.0,0.2595,66.0,0.3148,65.0,0.3027,55.0,0.2906,35.0,20270115.0,35.0,609.0,1.284804753820034
AA,50.0,2026-01-22,44.1,0.5085,76.0,0.4225,76.0,0.4436,64.0,0.4351,61.0,0.4266,59.0,0.5015,73.0,0.3883,68.0,0.4745,76.0,0.4951,77.0,0.5157,79.0,20270115.0,7.0,609.0,1.1378993334865548
AAAU,,,41.52,0.127,,0.1096,,0.2102,,0.2112,,0.2122,,0.1904,,0.1101,,0.2136,,0.211,,0.2085,,20251219.0,35.0,217.0,0.9990530303030304
AAL,49.0,2026-01-21,14.56,0.2105,13.0,0.3543,63.0,0.4406,68.0,0.4444,69.0,0.4481,70.0,0.4939,80.0,0.3811,67.0,0.4724,75.0,0.4742,74.0,0.476,73.0,20271217.0,7.0,945.0,1.067056705670567
AAMI,63.0,2026-02-04,45.11,0.3011,,0.2751,,0.2831,,0.4858,,0.6885,,0.428,,0.3469,,0.2831,,0.32,,0.357,,20260116.0,35.0,245.0,0.6587072869493619
AAOI,83.0,2026-02-24,25.65,0.8596,73.0,0.8072,78.0,1.0117,80.0,0.9822,77.0,0.9527,74.0,1.0424,85.0,0.9709,89.0,1.0186,90.0,0.9634,83.0,0.9083,76.0,20270115.0,7.0,609.0,0.9808592954591734
AAON,84.0,2026-02-25,88.63,0.2641,47.0,0.3187,67.0,0.6127,97.0,0.5621,96.0,0.5115,91.0,0.5991,94.0,0.5113,97.0,0.5406,100.0,0.5367,100.0,0.5328,100.0,20260116.0,35.0,245.0,0.9548123109766944
AAP,83.0,2026-02-24,53.53,0.1811,28.0,0.3547,84.0,0.483,89.0,0.4826,89.0,0.4823,88.0,0.5239,91.0,0.4998,95.0,0.591,99.0,0.5855,98.0,0.58,97.0,20270115.0,7.0,609.0,1.2132200580190635
AAPB,,,36.73,0.2551,19.0,0.3262,61.0,0.4394,41.0,0.383,11.0,0.3266,1.0,0.4398,52.0,0.3786,73.0,0.5115,78.0,0.5057,68.0,0.5,44.0,20260116.0,35.0,245.0,1.320365535248042
AAPD,,,12.6,0.1381,18.0,0.1706,46.0,0.1975,14.0,,,,,0.2234,56.0,0.1967,64.0,0.1975,15.0,,,,,20260116.0,35.0,245.0,
