symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,91.0,2026-02-24,157.88,0.3013,67.0,0.3909,91.0,0.284,50.0,0.2744,45.0,0.2647,41.0,0.2879,56.0,0.2588,66.0,0.3338,73.0,0.3093,57.0,0.2847,30.0,20270115.0,35.0,609.0,1.1271865889212829
AA,58.0,2026-01-22,40.2,0.5663,82.0,0.4779,83.0,0.4859,73.0,0.4918,74.0,0.4976,75.0,0.4916,71.0,0.388,68.0,0.499,81.0,0.5168,82.0,0.5347,83.0,20270115.0,7.0,609.0,1.0508336722244815
AAAU,,,40.95,0.1323,,0.1409,,0.21,,0.2276,,0.2452,,0.1945,,0.1104,,0.2093,,0.2095,,0.2096,,20251219.0,35.0,217.0,0.9204745166959578
AAL,57.0,2026-01-21,13.71,0.4271,66.0,0.4187,77.0,0.4456,69.0,0.438,67.0,0.4303,66.0,0.4943,80.0,0.3792,67.0,0.4564,71.0,0.4678,72.0,0.4791,74.0,20271217.0,7.0,945.0,1.068036529680365
AAMI,71.0,2026-02-04,45.52,0.3734,,0.3381,,0.368,,0.4767,,0.5854,,0.4251,,0.3441,,0.3389,,0.34,,0.3411,,20260116.0,35.0,245.0,0.7132368365848543
AAOI,91.0,2026-02-24,23.96,0.8273,71.0,0.953,88.0,0.9464,74.0,0.9468,74.0,0.9472,73.0,1.0362,85.0,0.969,89.0,0.9869,87.0,0.9902,86.0,0.9936,84.0,20270115.0,7.0,609.0,1.045838614279679
AAON,92.0,2026-02-25,94.25,0.3664,76.0,0.4818,95.0,0.545,93.0,0.5464,93.0,0.5478,94.0,0.5992,94.0,0.5106,97.0,0.5428,100.0,0.5425,100.0,0.5422,100.0,20260116.0,35.0,245.0,0.9928623718887262
AAP,91.0,2026-02-24,51.64,0.5251,92.0,0.4716,95.0,0.4949,90.0,0.4893,90.0,0.4837,89.0,0.5292,91.0,0.5009,95.0,0.6023,99.0,0.5838,98.0,0.5654,96.0,20270115.0,7.0,609.0,1.1931330472103003
AAPB,,,35.2,0.4098,54.0,0.4323,83.0,0.4081,32.0,0.545,61.0,0.6819,85.0,0.441,54.0,0.3785,73.0,0.4062,39.0,0.5214,72.0,0.6367,91.0,20260116.0,35.0,245.0,0.956697247706422
AAPD,,,12.9,0.2082,51.0,0.2302,77.0,0.261,41.0,,,,,0.2236,56.0,0.1967,64.0,0.261,52.0,,,,,20260116.0,35.0,245.0,
AAPL,64.0,2026-01-28,277.14,0.2095,37.0,0.2341,54.0,0.196,18.0,0.1943,17.0,0.1926,16.0,0.2205,19.0,0.2001,30.0,0.277,32.0,0.2858,32.0,0.2945,35.0,20271217.0,7.0,945.0,1.4709212557900155
AAPU,,,37.68,0.4152,61.0,0.458,86.0,0.4601,54.0,0.433,35.0,0.4058,24.0,0.4395,57.0,0.3924,70.0,0.4931,84.0,0.5292,81.0,0.5652,77.0,20260116.0,35.0,245.0,1.2221709006928407
AAPW,,,42.83,0.241,,0.254,,,,,,0.5082,,0.2814,,0.2255,,,,,,0.7348,,20251219.0,35.0,217.0,
AAPX,,,32.67,0.4286,,0.4253,,0.2912,,0.8108,,1.3303,,0.4427,,0.377,,0.2912,,0.6222,,0.9531,,20251219.0,35.0,217.0,0.7673902318697583
AAPY,,,25.48,0.2015,,0.1424,,,,,,0.2935,,0.1799,,0.1191,,,,,,0.2935,,20260116.0,35.0,245.0,
AAT,70.0,2026-02-03,19.51,0.2929,78.0,0.2103,56.0,0.2477,50.0,,,,,0.2548,63.0,0.2171,55.0,0.2648,61.0,,,,,20260116.0,35.0,245.0,
AAXJ,,,92.14,0.1364,38.0,0.2363,99.0,0.16,40.0,0.192,63.0,0.224,78.0,0.1465,18.0,0.0981,47.0,0.1611,35.0,0.191,46.0,0.2208,61.0,20251219.0,35.0,217.0,0.9947916666666666
AB,71.0,2026-02-04,41.31,0.2815,59.0,0.22,34.0,0.1632,6.0,0.1926,6.0,0.222,13.0,0.1791,4.0,0.1801,1.0,0.1163,2.0,0.2412,25.0,0.3662,70.0,20260116.0,35.0,245.0,1.252336448598131
ABAT,79.0,2026-02-12,3.6,1.328,90.0,1.1268,88.0,1.1438,,1.2138,,1.2838,,1.5416,92.0,1.252,93.0,1.3536,,1.3038,,1.254,,20251219.0,35.0,217.0,1.074147305981216
ABBV,65.0,2026-01-29,228.84,0.2966,79.0,0.2815,85.0,0.2282,57.0,0.2284,53.0,0.2286,50.0,0.229,40.0,0.2107,45.0,0.2759,90.0,0.2784,77.0,0.2809,37.0,20270115.0,7.0,609.0,1.2189141856392294
ABCB,64.0,2026-01-28,76.27,0.3575,79.0,0.3126,72.0,0.2903,40.0,0.3308,50.0,0.3714,69.0,0.2572,37.0,0.2316,12.0,0.2755,39.0,0.2822,37.0,0.2889,38.0,20260116.0,35.0,245.0,0.8530834340991537
ABCL,92.0,2026-02-25,3.6,0.4843,36.0,0.674,73.0,0.9477,81.0,0.9126,81.0,0.8774,79.0,0.8266,94.0,0.7839,94.0,1.2293,93.0,1.158,97.0,1.0867,99.0,20260116.0,35.0,245.0,1.268902038132807
ABEO,113.0,2026-03-18,4.81,0.6832,54.0,0.5791,27.0,1.3116,71.0,2.0652,89.0,2.8188,94.0,0.5383,8.0,0.5092,5.0,1.5122,85.0,1.4082,82.0,1.3041,81.0,20251219.0,35.0,217.0,0.6818710052295177
ABEV,,,2.5,0.253,44.0,0.2232,43.0,0.2306,11.0,0.2972,25.0,0.3638,37.0,0.2481,20.0,0.208,22.0,0.2306,18.0,0.2972,26.0,0.3638,30.0,20270115.0,35.0,609.0,1.0
ABFL,,,71.48,0.2374,,0.191,,0.0901,,0.4053,,0.7205,,0.1399,,0.1426,,0.0901,,0.2226,,0.3552,,20251219.0,35.0,217.0,0.5492227979274611
ABG,64.0,2026-01-28,235.82,0.5412,83.0,0.4101,73.0,0.3501,44.0,0.34,38.0,0.33,34.0,0.3466,42.0,0.3162,42.0,0.3576,44.0,0.3552,41.0,0.3528,40.0,20260116.0,35.0,245.0,1.0447058823529412
ABL,120.0,2026-03-25,6.44,0.6968,89.0,0.6536,82.0,0.7295,,0.7384,,0.7472,,0.7145,100.0,0.6756,100.0,0.5901,,0.6712,,0.7523,,20270115.0,35.0,609.0,0.9089924160346696
ABM,22.0,2025-12-17,43.02,0.3699,82.0,0.2674,66.0,0.3687,72.0,0.3829,72.0,0.3971,76.0,0.2747,52.0,0.2518,54.0,0.2836,55.0,0.3021,55.0,0.3205,60.0,20260116.0,35.0,245.0,0.788978845651606
ABNB,78.0,2026-02-11,117.58,0.4188,60.0,0.3013,39.0,0.2794,9.0,0.2775,8.0,0.2757,8.0,0.2682,11.0,0.2391,17.0,0.382,20.0,0.388,17.0,0.3941,11.0,20270115.0,7.0,609.0,1.398198198198198
ABNY,,,8.89,0.3618,76.0,0.2516,83.0,,,,,,,0.2318,44.0,0.1826,50.0,,,,,,,20260116.0,35.0,245.0,
ABOS,120.0,2026-03-25,1.96,1.2523,93.0,1.1154,92.0,,,,,,,0.9024,66.0,0.8565,63.0,,,,,,,20260116.0,35.0,245.0,
ABR,86.0,2026-02-19,9.03,0.6807,96.0,0.4774,94.0,0.357,71.0,0.3386,54.0,0.3203,44.0,0.353,70.0,0.3134,67.0,0.2398,69.0,0.4026,70.0,0.5654,70.0,20270115.0,7.0,609.0,1.1890135853514472
ABSI,111.0,2026-03-16,3.0,0.4526,8.0,0.7947,37.0,0.7207,2.0,0.8301,3.0,0.9395,16.0,0.9164,28.0,0.7626,1.0,1.6704,82.0,1.2228,60.0,0.7751,3.0,20251121.0,35.0,189.0,1.4730755330683052
ABT,56.0,2026-01-20,128.49,0.314,89.0,0.2969,93.0,0.2085,61.0,0.2078,59.0,0.2071,57.0,0.217,65.0,0.2004,68.0,0.2065,44.0,0.2412,65.0,0.276,79.0,20270115.0,7.0,609.0,1.1607314725697786
ABTC,,,4.2,0.5353,,0.9031,,1.1641,,1.8348,,2.5055,,0.0,,0.0,,0.7265,,0.8966,,1.0668,,,,,0.4886636145628951
ABUS,120.0,2026-03-25,4.29,0.3548,24.0,0.4809,31.0,0.8082,36.0,1.2681,84.0,1.7281,96.0,0.4126,15.0,0.4452,18.0,1.626,86.0,1.727,95.0,1.828,99.0,20270115.0,35.0,609.0,1.3618799779197226
ABVC,,,2.64,0.5586,,0.7192,,,,,,,,1.1799,,0.9907,,,,,,,,,,,
ABVE,,,2.33,1.3861,,1.3362,,,,,,,,3.1853,,2.3598,,,,,,,,,,,
