symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,4.0,2025-11-24,145.06,0.2373,50.0,0.2602,67.0,0.3433,70.0,0.3398,68.0,0.3364,67.0,0.2824,53.0,0.2481,61.0,0.3399,75.0,0.3329,70.0,0.326,61.0,20270115.0,35.0,609.0,0.979693937610359
AA,63.0,2026-01-22,35.83,0.6487,88.0,0.5122,87.0,0.5197,79.0,0.5182,78.0,0.5167,78.0,0.4866,70.0,0.3844,66.0,0.5081,83.0,0.5112,81.0,0.5142,79.0,20270115.0,7.0,609.0,0.9864917020455424
AAAU,,,40.23,0.1836,,0.1605,,0.2185,,0.239,,0.2595,,0.1939,,0.1089,,0.2056,,0.2084,,0.2111,,20251219.0,35.0,217.0,0.8719665271966528
AAL,62.0,2026-01-21,12.24,0.3768,55.0,0.3581,63.0,0.485,75.0,0.4807,75.0,0.4764,74.0,0.488,80.0,0.3748,66.0,0.5075,81.0,0.4946,79.0,0.4818,74.0,20271217.0,7.0,945.0,1.0289161639276054
AAMI,76.0,2026-02-04,43.04,0.4008,,0.3441,,0.4013,,0.482,,0.5628,,0.4243,,0.3408,,0.3678,,0.3553,,0.3428,,20260116.0,35.0,245.0,0.737136929460581
AAOI,96.0,2026-02-24,19.49,0.9034,76.0,1.0779,92.0,1.1555,87.0,1.1888,87.0,1.222,88.0,1.0396,85.0,0.9682,89.0,1.0222,90.0,1.0408,91.0,1.0594,91.0,20270115.0,7.0,609.0,0.8755047106325705
AAON,97.0,2026-02-25,89.16,0.4078,82.0,0.5684,97.0,0.5446,93.0,0.5354,93.0,0.5262,93.0,0.5987,94.0,0.5074,97.0,0.5384,100.0,0.5306,100.0,0.5227,99.0,20260116.0,35.0,245.0,0.9910347403810236
AAP,96.0,2026-02-24,48.37,0.2755,59.0,0.3968,89.0,0.5478,94.0,0.5322,93.0,0.5167,92.0,0.5418,92.0,0.5093,96.0,0.5953,99.0,0.5834,98.0,0.5715,97.0,20270115.0,7.0,609.0,1.0962044344231492
AAPB,,,32.35,0.2235,13.0,0.3972,77.0,0.5812,75.0,0.6982,91.0,0.8153,91.0,0.4368,51.0,0.3782,73.0,0.475,65.0,0.5536,79.0,0.6323,91.0,20260116.0,35.0,245.0,0.7928960183328558
AAPD,,,13.41,0.1185,12.0,0.2134,69.0,,,,,,,0.2216,55.0,0.1966,64.0,,,,,,,20260116.0,35.0,245.0,
AAPL,69.0,2026-01-28,266.25,0.116,8.0,0.2168,48.0,0.2561,40.0,0.2547,39.0,0.2533,39.0,0.2184,18.0,0.2,30.0,0.2847,33.0,0.2944,36.0,0.304,41.0,20271217.0,7.0,945.0,1.1558696505692974
AAPU,,,34.82,0.2333,22.0,0.4286,79.0,0.5535,73.0,0.521,61.0,0.4884,45.0,0.4355,55.0,0.3924,70.0,0.4989,85.0,0.5428,85.0,0.5867,83.0,20260116.0,35.0,245.0,1.0418426103646832
AAPW,,,40.95,0.1437,,0.1957,,,,,,0.8097,,0.2788,,0.224,,,,,,0.7922,,20251219.0,35.0,217.0,
