symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,14.0,2025-11-24,146.36,0.1677,25.0,0.2522,65.0,0.2731,45.0,0.2732,45.0,0.2733,44.0,0.2851,55.0,0.246,60.0,0.315,65.0,0.3214,64.0,0.3278,62.0,20270115.0,35.0,609.0,1.176427525622255
AA,73.0,2026-01-22,38.79,0.469,71.0,0.3413,57.0,0.4865,73.0,0.487,73.0,0.4874,73.0,0.4676,64.0,0.3748,63.0,0.4572,72.0,0.4827,74.0,0.5082,77.0,20270115.0,7.0,609.0,0.9911704312114992
AAAU,,,40.59,0.2226,,0.0968,,0.2195,,0.2248,,0.23,,0.1977,,0.1051,,0.209,,0.2114,,0.2137,,20251219.0,35.0,217.0,0.9403914590747332
AAL,72.0,2026-01-21,13.31,0.6317,88.0,0.5178,88.0,0.4716,73.0,0.4752,74.0,0.4787,75.0,0.4864,79.0,0.3724,65.0,0.4034,55.0,0.4516,68.0,0.4999,78.0,20271217.0,7.0,945.0,0.9503367003367004
AAMI,86.0,2026-02-04,45.22,0.5324,,0.465,,0.3302,,0.5776,,0.825,,0.4169,,0.3318,,0.3302,,0.3438,,0.3573,,20260116.0,35.0,245.0,0.5952216066481995
AAOI,106.0,2026-02-24,25.42,1.0903,85.0,1.1988,95.0,0.9724,76.0,0.9274,73.0,0.8823,70.0,1.0236,84.0,0.9537,88.0,1.0313,91.0,1.0374,91.0,1.0435,90.0,20270115.0,7.0,609.0,1.1186111710157431
AAON,107.0,2026-02-25,105.79,0.7647,98.0,0.7725,99.0,0.4237,80.0,0.4485,83.0,0.4733,88.0,0.5906,94.0,0.4932,96.0,0.5089,99.0,0.5146,99.0,0.5203,99.0,20260116.0,35.0,245.0,1.147380156075808
AAP,106.0,2026-02-24,47.55,0.5383,93.0,0.6006,98.0,0.5794,95.0,0.5717,95.0,0.564,94.0,0.8466,100.0,0.5333,98.0,0.5847,99.0,0.5771,98.0,0.5695,97.0,20270115.0,7.0,609.0,1.009445513381144
AAPB,,,33.2,0.1345,2.0,0.3761,72.0,0.4851,53.0,0.4718,37.0,0.4585,32.0,0.4533,57.0,0.3766,72.0,0.4692,63.0,0.5066,68.0,0.5439,62.0,20260116.0,35.0,245.0,1.0737600678253498
AAPD,,,13.25,0.0643,1.0,0.1972,62.0,0.3432,74.0,,,,,0.2288,57.0,0.1946,63.0,0.3432,85.0,,,,,20260116.0,35.0,245.0,
