symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,12.0,2025-11-24,150.01,0.2364,50.0,0.2456,62.0,0.2789,48.0,0.2662,41.0,0.2535,35.0,0.2887,56.0,0.2456,60.0,0.3191,67.0,0.3258,66.0,0.3326,63.0,20270115.0,35.0,609.0,1.22389181066867
AA,71.0,2026-01-22,38.69,0.4859,73.0,0.3938,70.0,0.4932,74.0,0.4863,73.0,0.4794,71.0,0.4667,64.0,0.3768,64.0,0.4584,72.0,0.4846,74.0,0.5109,78.0,20270115.0,7.0,609.0,0.9965042155048324
AAAU,,,41.43,0.2327,,0.1109,,0.2375,,0.2389,,0.2403,,0.1984,,0.1059,,0.2142,,0.2226,,0.2311,,20251219.0,35.0,217.0,0.9317706153202177
AAL,70.0,2026-01-21,13.15,0.6163,87.0,0.5175,88.0,0.4362,67.0,0.4368,67.0,0.4375,67.0,0.4865,79.0,0.3727,65.0,0.4665,73.0,0.4706,73.0,0.4748,72.0,20271217.0,7.0,945.0,1.0773809523809523
AAMI,84.0,2026-02-04,43.13,0.5159,,0.4566,,0.3765,,0.421,,0.4654,,0.4177,,0.3324,,0.3437,,0.3435,,0.3433,,20260116.0,35.0,245.0,0.815914489311164
AAOI,104.0,2026-02-24,20.34,1.0069,82.0,1.1898,95.0,1.0438,82.0,0.9892,77.0,0.9345,73.0,1.0273,85.0,0.9497,88.0,1.0259,91.0,1.024,90.0,1.0222,88.0,20270115.0,7.0,609.0,1.0351799433885969
AAON,105.0,2026-02-25,94.72,0.7903,98.0,0.7676,99.0,0.5695,95.0,0.5598,96.0,0.5501,94.0,0.5928,94.0,0.4941,96.0,0.5167,99.0,0.5168,99.0,0.517,99.0,20260116.0,35.0,245.0,0.9231868524473028
AAP,104.0,2026-02-24,51.08,0.511,92.0,0.4554,94.0,0.5427,93.0,0.544,93.0,0.5454,93.0,0.8493,100.0,0.532,98.0,0.5999,99.0,0.5889,98.0,0.5779,97.0,20270115.0,7.0,609.0,1.0825367647058823
AAPB,,,34.13,0.227,14.0,0.3275,61.0,0.4466,42.0,0.4478,30.0,0.4489,28.0,0.4545,57.0,0.3764,72.0,0.4117,41.0,0.48,57.0,0.5484,64.0,20260116.0,35.0,245.0,1.0719071013845467
AAPD,,,13.08,0.1153,11.0,0.1718,47.0,0.2588,40.0,,,,,0.2294,57.0,0.1946,63.0,0.2588,51.0,,,,,20260116.0,35.0,245.0,
