symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,6.0,2025-11-24,143.84,0.2755,61.0,0.2581,67.0,0.3616,75.0,0.3382,68.0,0.3149,60.0,0.2848,55.0,0.2476,61.0,0.3231,69.0,0.3298,68.0,0.3365,65.0,20270115.0,35.0,609.0,0.9751626256652868
AA,65.0,2026-01-22,36.55,0.7187,91.0,0.4597,81.0,0.4985,75.0,0.5012,75.0,0.504,76.0,0.4851,70.0,0.3817,65.0,0.4785,76.0,0.4974,77.0,0.5162,79.0,20270115.0,7.0,609.0,0.9924181963288108
AAAU,,,40.16,0.2534,,0.1491,,0.2429,,0.2434,,0.244,,0.1976,,0.1078,,0.2005,,0.2078,,0.215,,20251219.0,35.0,217.0,0.8537387017255547
AAL,64.0,2026-01-21,12.36,0.3914,57.0,0.3639,65.0,0.4636,72.0,0.4564,71.0,0.4493,70.0,0.4918,80.0,0.3729,65.0,0.4796,76.0,0.4814,75.0,0.4833,75.0,20271217.0,7.0,945.0,1.0547765118317267
AAMI,78.0,2026-02-04,42.37,0.4191,,0.3906,,0.3794,,0.517,,0.6545,,0.4265,,0.3402,,0.334,,0.3602,,0.3864,,20260116.0,35.0,245.0,0.6967117988394584
AAOI,98.0,2026-02-24,20.89,1.0163,82.0,1.0689,92.0,1.0168,81.0,1.0254,81.0,1.0341,81.0,1.0363,85.0,0.9614,88.0,1.0334,92.0,1.0496,92.0,1.0657,92.0,20270115.0,7.0,609.0,1.0236005461283402
AAON,99.0,2026-02-25,90.38,0.3567,74.0,0.5077,95.0,0.7615,99.0,0.6971,99.0,0.6328,98.0,0.5971,94.0,0.5023,96.0,0.5776,100.0,0.5551,100.0,0.5326,100.0,20260116.0,35.0,245.0,0.7962989528044757
AAP,98.0,2026-02-24,49.76,0.5259,92.0,0.46,94.0,0.5414,93.0,0.534,93.0,0.5266,92.0,0.5404,92.0,0.5099,96.0,0.5841,99.0,0.5884,98.0,0.5927,98.0,20270115.0,7.0,609.0,1.10187265917603
AAPB,,,32.66,0.3744,47.0,0.3463,65.0,0.5047,59.0,0.5798,71.0,0.655,83.0,0.4518,57.0,0.3746,71.0,0.4266,47.0,0.5398,76.0,0.6531,94.0,20260116.0,35.0,245.0,0.9310106933425318
AAPD,,,13.36,0.1922,43.0,0.1873,57.0,,,,,,,0.2282,57.0,0.1945,63.0,,,,,,,20260116.0,35.0,245.0,
AAPL,71.0,2026-01-28,267.44,0.1903,30.0,0.1907,38.0,0.2424,34.0,0.2412,34.0,0.2401,34.0,0.2253,21.0,0.1979,28.0,0.2827,33.0,0.2928,35.0,0.3029,40.0,20271217.0,7.0,945.0,1.2139303482587065
AAPU,,,35.17,0.3836,56.0,0.3751,68.0,0.5137,67.0,0.515,59.0,0.5162,56.0,0.4494,60.0,0.3884,68.0,0.5194,88.0,0.5548,87.0,0.5902,84.0,20260116.0,35.0,245.0,1.0772815533980582
AAPW,,,41.31,0.2368,,0.2169,,0.399,,0.5898,,0.7806,,0.2849,,0.2232,,0.399,,0.5872,,0.7753,,20251219.0,35.0,217.0,0.9955917260088166
AAPX,,,30.45,0.3933,,0.3425,,0.5109,,0.6843,,0.8577,,0.4527,,0.3732,,0.2903,,0.6353,,0.9803,,20251219.0,35.0,217.0,0.9283939792488674
AAPY,,,24.84,0.1481,,0.1117,,,,,,,,0.1836,,0.1176,,,,,,,,20260116.0,35.0,245.0,
AAT,77.0,2026-02-03,18.87,0.2381,63.0,0.196,47.0,0.3819,75.0,,,,,0.2572,63.0,0.2173,55.0,0.2874,68.0,,,,,20260116.0,35.0,245.0,
AAXJ,,,92.21,0.1605,53.0,0.211,98.0,0.1556,36.0,0.229,82.0,0.3024,93.0,0.146,18.0,0.0932,39.0,0.1775,52.0,0.2015,61.0,0.2255,66.0,20251219.0,35.0,217.0,0.8799126637554585
AB,78.0,2026-02-04,39.13,0.1179,7.0,0.1303,2.0,0.3842,85.0,0.3392,70.0,0.2942,43.0,0.171,3.0,0.178,1.0,0.253,56.0,0.2756,48.0,0.2982,38.0,20260116.0,35.0,245.0,0.8125
ABAT,86.0,2026-02-12,3.69,1.3934,92.0,1.1419,89.0,1.0759,,1.1438,,1.2118,,1.5236,92.0,1.2348,93.0,1.4191,,1.4688,,1.5185,,20251219.0,35.0,217.0,1.2841405840181852
ABBV,72.0,2026-01-29,233.87,0.2553,70.0,0.256,79.0,0.2407,64.0,0.2389,60.0,0.2371,56.0,0.2219,34.0,0.2048,37.0,0.2736,89.0,0.2755,72.0,0.2774,33.0,20270115.0,7.0,609.0,1.153202176642947
ABCB,71.0,2026-01-28,71.68,0.3009,67.0,0.3007,68.0,0.3342,56.0,0.3474,55.0,0.3606,65.0,0.2541,35.0,0.2276,9.0,0.3101,57.0,0.3076,49.0,0.3051,48.0,20260116.0,35.0,245.0,0.8854346574553829
ABCL,99.0,2026-02-25,3.66,0.654,64.0,0.6671,72.0,1.8062,98.0,1.2017,97.0,0.5972,13.0,0.822,94.0,0.7747,93.0,1.1684,92.0,1.0953,96.0,1.0222,98.0,20260116.0,35.0,245.0,0.9114587667471082
ABEO,120.0,2026-03-18,4.48,1.2368,92.0,0.9291,75.0,1.2122,66.0,,,,,0.5219,8.0,0.5058,5.0,1.9265,92.0,,,,,20251219.0,35.0,217.0,
ABEV,,,2.53,0.2322,37.0,0.1383,2.0,0.241,15.0,0.2776,17.0,0.3143,14.0,0.2443,16.0,0.2054,18.0,0.241,22.0,0.2939,25.0,0.3468,23.0,20270115.0,35.0,609.0,1.0587175792507204
ABFL,,,69.31,0.2232,,0.1336,,0.1033,,0.394,,0.6846,,0.134,,0.138,,0.1033,,0.232,,0.3608,,20251219.0,35.0,217.0,0.5888324873096447
ABG,71.0,2026-01-28,220.3,0.3241,49.0,0.304,46.0,0.3776,55.0,0.399,63.0,0.4205,70.0,0.3288,39.0,0.3077,38.0,0.3739,52.0,0.3776,53.0,0.3812,54.0,20260116.0,35.0,245.0,0.9463659147869672
ABL,,,6.12,0.4736,57.0,0.6799,83.0,0.6136,,0.7171,,0.8207,,0.7032,98.0,0.6673,100.0,0.7312,,0.7413,,0.7514,,20270115.0,35.0,609.0,1.0337470366754986
ABM,29.0,2025-12-17,40.49,0.2818,66.0,0.2253,51.0,0.4133,80.0,0.3982,78.0,0.3832,74.0,0.2733,51.0,0.2497,53.0,0.3495,76.0,0.3488,71.0,0.348,71.0,20260116.0,35.0,245.0,0.8759417378201909
ABNB,85.0,2026-02-11,115.42,0.2838,28.0,0.256,24.0,0.3298,27.0,0.3304,27.0,0.3311,27.0,0.2603,11.0,0.2356,15.0,0.3879,22.0,0.389,18.0,0.39,10.0,20270115.0,7.0,609.0,1.1773607748184018
ABNY,,,8.97,0.2137,39.0,0.1747,36.0,,,,,,,0.2298,44.0,0.1821,50.0,,,,,,,20260116.0,35.0,245.0,
ABOS,,,1.66,0.867,73.0,0.8754,74.0,,,,,,,0.8732,62.0,0.8331,57.0,,,,,,,20260116.0,35.0,245.0,
ABR,93.0,2026-02-19,8.53,0.4629,90.0,0.3316,82.0,0.3667,73.0,0.3756,65.0,0.3845,65.0,0.3534,70.0,0.3139,67.0,0.3055,82.0,0.4899,89.0,0.6743,89.0,20270115.0,7.0,609.0,1.3043130990415337
ABSI,118.0,2026-03-16,2.84,1.6728,97.0,0.9762,68.0,2.6797,94.0,1.7431,84.0,0.8065,3.0,0.9121,27.0,0.7534,1.0,1.8864,85.0,1.3464,71.0,0.8065,4.0,20251121.0,35.0,189.0,0.7724169582926969
ABT,63.0,2026-01-20,130.0,0.1146,21.0,0.1519,40.0,0.2082,61.0,0.2037,57.0,0.1992,52.0,0.2068,57.0,0.191,62.0,0.1972,38.0,0.2307,55.0,0.2642,68.0,20270115.0,7.0,609.0,1.1325478645066274
ABTC,,,5.07,0.4727,,1.0055,,1.178,,1.1563,,1.1346,,0.0,,0.0,,1.1273,,1.3256,,1.5238,,,,,1.146415290149615
ABUS,,,4.45,0.4949,49.0,0.5258,41.0,0.7289,23.0,1.0182,64.0,1.3075,88.0,0.4184,15.0,0.442,17.0,1.7861,89.0,1.9586,98.0,2.1311,99.0,20270115.0,35.0,609.0,1.9235906501669613
ABVC,,,2.92,0.5778,,0.5816,,,,,,6.3238,,1.2007,,0.9963,,,,,,6.3238,,,,,
ABVE,,,2.07,1.8608,,1.7018,,,,,,,,3.1836,,2.3666,,,,,,,,,,,
ABVX,,,113.83,0.7181,,0.567,,0.7052,,0.7352,,0.7651,,2.7928,,0.5698,,0.9243,,0.9196,,0.915,,,,,1.250816104461371
ACA,99.0,2026-02-25,98.47,0.2424,36.0,0.3025,59.0,0.4912,86.0,0.4776,85.0,0.4639,80.0,0.3296,35.0,0.2569,22.0,0.3649,65.0,0.3624,63.0,0.3599,60.0,20251219.0,35.0,217.0,0.7587939698492462
ACAD,98.0,2026-02-24,23.8,0.4719,51.0,0.446,43.0,0.5554,31.0,0.5487,28.0,0.542,27.0,0.3707,1.0,0.3649,3.0,0.5421,23.0,0.5422,22.0,0.5423,20.0,20251219.0,35.0,217.0,0.988153818115546
