symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,157.0,,,113.5,32241376592.0,0.1887,33.0,0.2314,57.0,0.3306,66.0,0.3308,66.0,0.3309,66.0,0.3561,80.0,0.304,80.0,0.2918,52.0,0.3154,61.0,0.339,66.0,20270115.0,35.0,609.0,0.9534461910519952
AA,192.0,,,28.4,7353186128.0,0.2965,38.0,0.3282,54.0,0.5499,83.0,0.5576,84.0,0.5653,85.0,0.564,82.0,0.4784,84.0,0.4902,79.0,0.4716,73.0,0.4531,68.0,20270115.0,7.0,609.0,0.8457675753228121
AAAU,,,,33.15,,0.1914,,0.0745,,0.1633,,0.176,,0.1886,,0.1993,,0.104,,0.146,,0.1589,,0.1718,,20251219.0,35.0,217.0,0.9028409090909092
AACT,,,,11.41,705819168.0,0.0497,,0.0346,,,,,,,,0.035,,0.0361,,,,,,,,,,,
AAL,191.0,,,11.03,7281211664.0,0.6298,88.0,0.2661,28.0,0.4075,59.0,0.4114,60.0,0.4154,62.0,0.6274,91.0,0.4727,84.0,0.4415,69.0,0.4479,68.0,0.4543,67.0,20271217.0,7.0,945.0,1.088721438988819
AAMI,177.0,,,39.58,1416778040.0,0.4912,,0.3688,,0.2918,,0.3098,,0.3278,,0.3725,,0.3365,,0.2244,,0.2761,,0.3278,,20260116.0,35.0,245.0,0.8912201420271143
AAOI,157.0,,,21.53,1208674862.0,0.6484,57.0,0.7938,79.0,1.5277,96.0,1.5234,96.0,1.5192,96.0,1.3049,95.0,1.1122,96.0,0.9786,87.0,0.9846,87.0,0.9906,85.0,20270115.0,7.0,609.0,0.6463174478141
AAON,156.0,,,81.65,6643541863.0,0.5597,95.0,0.3766,85.0,0.7966,100.0,0.7782,100.0,0.7599,100.0,0.6511,98.0,0.4946,97.0,0.4992,99.0,0.508,100.0,0.5169,100.0,20260116.0,35.0,245.0,0.6527884862503213
AAP,157.0,,,52.71,3158678321.0,0.5738,95.0,0.7251,99.0,0.7066,98.0,0.6907,98.0,0.6748,98.0,0.8981,100.0,0.5614,99.0,0.4725,92.0,0.5186,95.0,0.5647,97.0,20270115.0,7.0,609.0,0.750832488779499
AAPB,,,,19.37,,0.3822,,0.484,,0.7147,,0.6255,,0.5362,,0.7641,,0.5885,,0.4782,,0.5164,,0.5546,,20260116.0,35.0,245.0,0.8255795363709033
AAPD,,,,17.84,,0.1399,,0.2387,,0.1695,,0.2442,,0.3189,,0.397,,0.3089,,0.1695,,0.2644,,0.3594,,20260116.0,35.0,245.0,1.082719082719083
AAPL,184.0,,,202.38,3100238998514.0,0.1481,17.0,0.2456,57.0,0.2944,52.0,0.2966,53.0,0.2988,53.0,0.387,79.0,0.31,70.0,0.2748,31.0,0.2744,27.0,0.2741,21.0,20271217.0,7.0,945.0,0.9251517194875252
AAPU,,,,21.09,,0.3144,,0.4883,,0.564,,0.5719,,0.5798,,0.7612,,0.6044,,0.4626,,0.5058,,0.549,,20260116.0,35.0,245.0,0.884420353208603
AAPW,,,,33.56,,0.1471,,0.1473,,,,,,0.6875,,0.0,,0.0,,,,,,0.7816,,20251219.0,35.0,217.0,
AAPX,,,,18.2,,0.3006,,0.2417,,0.37,,0.7883,,1.2066,,0.7633,,0.5764,,0.3126,,0.4962,,0.6797,,20251219.0,35.0,217.0,0.6294557909425346
AAPY,,,,21.17,,0.1052,,0.1218,,,,,,0.2186,,0.3263,,0.1843,,,,,,0.3189,,20260116.0,35.0,245.0,
AAT,179.0,,,18.7,1446147654.0,0.4698,95.0,0.344,92.0,0.3745,75.0,,,,,0.3056,80.0,0.2824,83.0,0.3745,88.0,,,,,20260116.0,35.0,245.0,
AAXJ,,,,82.9,,0.0521,1.0,0.0606,13.0,0.157,36.0,0.1692,41.0,0.1814,47.0,0.2183,79.0,0.1293,84.0,0.1585,31.0,0.1752,27.0,0.1918,25.0,20251219.0,35.0,217.0,1.0354609929078014
AB,177.0,,,40.62,4490012822.0,0.2216,41.0,0.2657,54.0,0.2853,57.0,0.3406,70.0,0.3959,76.0,0.3172,65.0,0.2808,53.0,0.2079,33.0,0.219,14.0,0.2301,9.0,20260116.0,35.0,245.0,0.642982971227246
ABAT,261.0,,,2.2,222989805.0,1.4153,93.0,1.625,96.0,1.254,,1.2666,,1.2792,,1.0645,80.0,1.1142,96.0,1.2061,,1.254,,1.302,,20251219.0,35.0,217.0,0.9900521080056846
ABBV,183.0,,,195.22,344836610156.0,0.239,67.0,0.295,88.0,0.2416,66.0,0.2464,65.0,0.2511,64.0,0.2832,72.0,0.289,87.0,0.2032,33.0,0.2492,28.0,0.2952,52.0,20270115.0,7.0,609.0,1.0113636363636362
ABCB,184.0,,,65.91,4541917408.0,0.442,90.0,0.2886,62.0,0.2597,20.0,0.2853,32.0,0.3109,47.0,0.3373,74.0,0.2735,45.0,0.2757,39.0,0.2674,24.0,0.2591,14.0,20260116.0,35.0,245.0,0.9372590255871014
ABCL,156.0,,,4.24,1334226168.0,0.4221,22.0,0.6507,71.0,1.0049,89.0,1.0014,,0.9979,,0.8133,93.0,0.7551,93.0,0.8776,64.0,0.8888,,0.9001,,20260116.0,35.0,245.0,0.8875574196125424
ABEO,135.0,,,6.49,332006971.0,0.4801,25.0,0.5008,14.0,0.8098,26.0,0.9525,38.0,1.0952,53.0,0.6351,15.0,0.6752,14.0,1.0087,54.0,0.9718,47.0,0.9349,41.0,20251219.0,35.0,217.0,1.020262467191601
ABEV,157.0,,,2.18,34208342838.0,0.3794,77.0,0.2489,57.0,0.2426,15.0,0.3141,32.0,0.3856,47.0,0.2896,43.0,0.2469,50.0,0.2426,21.0,0.2904,21.0,0.3383,20.0,20270115.0,35.0,609.0,0.9245463228271252
ABFL,,,,68.34,,0.1309,,0.0587,,0.1514,,0.1572,,0.1631,,0.2408,,0.1501,,0.1518,,0.1686,,0.1854,,20251219.0,35.0,217.0,1.0725190839694656
ABG,184.0,,,223.02,4384707096.0,0.3783,60.0,0.4669,83.0,0.4079,65.0,0.3986,62.0,0.3894,59.0,0.3947,57.0,0.3757,63.0,0.3637,47.0,0.364,44.0,0.3643,45.0,20260116.0,35.0,245.0,0.9131961866532864
