symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,132.0,,,119.25,33874750296.0,0.1957,35.0,0.2481,63.0,0.2999,56.0,0.296,54.0,0.2921,52.0,0.3422,77.0,0.3015,80.0,0.2836,47.0,0.3009,54.0,0.3182,57.0,20270115.0,35.0,609.0,1.016554054054054
AA,167.0,,,29.81,7717868482.0,0.6932,90.0,0.4268,76.0,0.6482,92.0,0.6411,91.0,0.634,91.0,0.5623,82.0,0.4779,83.0,0.4487,71.0,0.4521,70.0,0.4555,69.0,20270115.0,7.0,609.0,0.7051941974730931
AAAU,,,,32.96,,0.1623,,0.0749,,0.156,,0.1619,,0.1679,,0.1959,,0.1021,,0.1554,,0.1666,,0.1778,,20251219.0,35.0,217.0,1.029030265596047
AACT,,,,11.33,700870396.0,0.0241,,0.0352,,,,,,,,0.0321,,0.0342,,,,,,,,,,,
AAL,166.0,,,11.59,7643744181.0,0.1857,8.0,0.3024,44.0,0.5271,81.0,0.5276,81.0,0.528,81.0,0.6025,90.0,0.469,83.0,0.4682,75.0,0.4836,77.0,0.4991,78.0,20271217.0,7.0,945.0,0.9166034874905232
AAMI,152.0,,,37.98,1359505478.0,0.1812,,0.2794,,0.2571,,0.3058,,0.3545,,0.3629,,0.3366,,0.2858,,0.3202,,0.3545,,20260116.0,35.0,245.0,1.0470896010464354
AAOI,132.0,,,26.44,1484317834.0,0.9473,79.0,1.0244,91.0,1.1395,87.0,1.1337,86.0,1.1279,85.0,1.3748,95.0,1.1367,97.0,0.9364,84.0,0.9794,87.0,1.0224,89.0,20270115.0,7.0,609.0,0.8638969745082474
AAON,131.0,,,73.39,5971457736.0,0.219,31.0,0.3303,72.0,0.4575,87.0,0.4284,81.0,0.3993,74.0,0.6713,99.0,0.4985,97.0,0.492,99.0,0.4906,99.0,0.4892,99.0,20260116.0,35.0,245.0,1.1451914098972922
AAP,132.0,,,54.22,3249166105.0,0.4998,92.0,0.5538,98.0,0.4993,91.0,0.4916,91.0,0.484,89.0,0.8775,100.0,0.5336,98.0,0.5405,97.0,0.539,96.0,0.5376,95.0,20270115.0,7.0,609.0,1.0964198535394631
AAPB,,,,21.05,,0.4101,,0.4603,,0.4483,,0.4927,,0.5371,,0.7949,,0.6044,,0.4876,,0.538,,0.5883,,20260116.0,35.0,245.0,1.0919423584331236
